alg,SUT,rep,# unix_time, cycles_done, cur_path, paths_total, pending_total, pending_favs, map_size, unique_crashes, unique_hangs, max_depth, execs_per_sec, total_execs, edges_found
AFLfast,pngtest,2,174, 0, 11, 20, 20, 20, 0.01%, 0, 0, 1, 26833.33, 161, 1207
AFLfast,pngtest,2,36345, 0, 11, 21, 21, 20, 0.01%, 0, 0, 2, 1.19, 204, 1213
AFLfast,pngtest,2,74506, 0, 11, 22, 22, 20, 0.01%, 0, 0, 2, 1.57, 250, 1214
AFLfast,pngtest,2,112350, 0, 11, 23, 23, 20, 0.01%, 0, 0, 2, 2.44, 296, 1217
AFLfast,pngtest,2,117486, 0, 11, 23, 23, 20, 0.01%, 0, 0, 2, 2.80, 311, 1217
AFLfast,pngtest,2,153590, 0, 11, 24, 24, 20, 0.01%, 0, 0, 2, 2.69, 352, 1219
AFLfast,pngtest,2,158605, 0, 11, 24, 24, 20, 0.01%, 0, 0, 2, 2.58, 364, 1219
AFLfast,pngtest,2,195413, 0, 11, 25, 25, 20, 0.01%, 0, 0, 2, 2.46, 408, 1220
AFLfast,pngtest,2,200615, 0, 11, 25, 25, 20, 0.01%, 0, 0, 2, 2.53, 421, 1220
AFLfast,pngtest,2,206131, 0, 11, 25, 25, 20, 0.01%, 0, 0, 2, 2.52, 434, 1220
AFLfast,pngtest,2,211229, 0, 11, 25, 25, 20, 0.01%, 0, 0, 2, 2.64, 448, 1220
AFLfast,pngtest,2,216537, 0, 11, 25, 25, 20, 0.01%, 0, 0, 2, 2.49, 460, 1220
AFLfast,pngtest,2,257627, 0, 11, 26, 26, 20, 0.01%, 0, 0, 2, 2.64, 515, 1222
AFLfast,pngtest,2,262670, 0, 11, 26, 26, 20, 0.01%, 0, 0, 2, 2.73, 528, 1222
AFLfast,pngtest,2,267865, 0, 11, 26, 26, 20, 0.01%, 0, 0, 2, 2.69, 541, 1222
AFLfast,pngtest,2,273110, 0, 11, 26, 26, 20, 0.01%, 0, 0, 2, 2.72, 555, 1222
AFLfast,pngtest,2,278149, 0, 11, 26, 26, 20, 0.01%, 0, 0, 2, 2.56, 566, 1222
AFLfast,pngtest,2,283790, 0, 11, 26, 26, 20, 0.01%, 0, 0, 2, 2.61, 580, 1222
AFLfast,pngtest,2,320447, 0, 11, 27, 27, 20, 0.01%, 0, 0, 2, 2.52, 621, 1225
AFLfast,pngtest,2,325878, 0, 11, 27, 27, 20, 0.01%, 0, 0, 2, 3.61, 634, 1225
AFLfast,pngtest,2,330685, 0, 11, 27, 27, 20, 0.01%, 0, 0, 2, 2.94, 645, 1225
AFLfast,pngtest,2,335794, 0, 11, 27, 27, 20, 0.01%, 0, 0, 2, 2.69, 656, 1225
AFLfast,pngtest,2,340877, 0, 11, 27, 27, 20, 0.01%, 0, 0, 2, 2.68, 669, 1225
AFLfast,pngtest,2,345986, 0, 11, 27, 27, 20, 0.01%, 0, 0, 2, 2.67, 682, 1225
AFLfast,pngtest,2,351082, 0, 11, 27, 27, 20, 0.01%, 0, 0, 2, 2.69, 695, 1225
AFLfast,pngtest,2,356605, 0, 11, 27, 27, 20, 0.01%, 0, 0, 2, 2.69, 709, 1225
AFLfast,pngtest,2,396139, 0, 11, 28, 28, 20, 0.01%, 0, 0, 2, 2.59, 757, 1226
AFLfast,pngtest,2,400783, 0, 11, 28, 28, 20, 0.01%, 0, 0, 2, 3.16, 769, 1226
AFLfast,pngtest,2,406084, 0, 11, 28, 28, 20, 0.01%, 0, 0, 2, 2.89, 782, 1226
AFLfast,pngtest,2,411187, 0, 11, 28, 28, 20, 0.01%, 0, 0, 2, 2.78, 796, 1226
AFLfast,pngtest,2,416546, 0, 11, 28, 28, 20, 0.01%, 0, 0, 2, 2.70, 810, 1226
AFLfast,pngtest,2,421902, 0, 11, 28, 28, 20, 0.01%, 0, 0, 2, 2.73, 824, 1226
AFLfast,pngtest,2,427172, 0, 11, 28, 28, 20, 0.01%, 0, 0, 2, 2.62, 837, 1226
AFLfast,pngtest,2,432013, 0, 11, 28, 28, 20, 0.01%, 0, 0, 2, 2.68, 850, 1226
AFLfast,pngtest,2,437263, 0, 11, 28, 28, 20, 0.01%, 0, 0, 2, 2.60, 863, 1226
AFLfast,pngtest,2,474703, 0, 11, 29, 29, 20, 0.01%, 0, 0, 2, 2.55, 907, 1231
AFLfast,pngtest,2,479397, 0, 11, 29, 29, 20, 0.01%, 0, 0, 2, 3.56, 919, 1231
AFLfast,pngtest,2,517791, 0, 11, 30, 30, 20, 0.01%, 0, 0, 2, 3.21, 964, 1234
AFLfast,pngtest,2,522625, 0, 11, 30, 30, 20, 0.01%, 0, 0, 2, 3.62, 977, 1234
AFLfast,pngtest,2,528181, 0, 11, 30, 30, 20, 0.01%, 0, 0, 2, 3.06, 991, 1234
AFLfast,pngtest,2,533409, 0, 11, 30, 30, 20, 0.01%, 0, 0, 2, 2.85, 1005, 1234
AFLfast,pngtest,2,538605, 0, 11, 30, 30, 20, 0.01%, 0, 0, 2, 2.65, 1018, 1234
AFLfast,pngtest,2,543917, 0, 11, 30, 30, 20, 0.01%, 0, 0, 2, 2.62, 1031, 1234
AFLfast,pngtest,2,548904, 0, 11, 30, 30, 20, 0.01%, 0, 0, 2, 2.60, 1043, 1234
AFLfast,pngtest,2,553897, 0, 11, 30, 30, 20, 0.01%, 0, 0, 2, 2.61, 1056, 1234
AFLfast,pngtest,2,558989, 0, 11, 30, 30, 20, 0.01%, 0, 0, 2, 2.65, 1069, 1234
AFLfast,pngtest,2,564243, 0, 11, 30, 30, 20, 0.01%, 0, 0, 2, 2.63, 1082, 1234
AFLfast,pngtest,2,569597, 0, 11, 30, 30, 20, 0.01%, 0, 0, 2, 2.70, 1096, 1234
AFLfast,pngtest,2,574662, 0, 11, 30, 30, 20, 0.01%, 0, 0, 2, 2.72, 1110, 1234
AFLfast,pngtest,2,579716, 0, 11, 30, 30, 20, 0.01%, 0, 0, 2, 2.77, 1124, 1234
AFLfast,pngtest,2,584861, 0, 11, 30, 30, 20, 0.01%, 0, 0, 2, 2.66, 1137, 1234
AFLfast,pngtest,2,590229, 0, 11, 30, 30, 20, 0.01%, 0, 0, 2, 2.60, 1150, 1234
AFLfast,pngtest,2,595375, 0, 11, 30, 30, 20, 0.01%, 0, 0, 2, 2.55, 1163, 1234
AFLfast,pngtest,2,600673, 0, 11, 30, 30, 20, 0.01%, 0, 0, 2, 2.49, 1175, 1234
AFLfast,pngtest,2,641098, 0, 11, 31, 31, 20, 0.01%, 0, 0, 2, 2.41, 1225, 1236
AFLfast,pngtest,2,646435, 0, 11, 31, 31, 20, 0.01%, 0, 0, 2, 3.00, 1238, 1236
AFLfast,pngtest,2,651546, 0, 11, 31, 31, 20, 0.01%, 0, 0, 2, 2.67, 1250, 1236
AFLfast,pngtest,2,656890, 0, 11, 31, 31, 20, 0.01%, 0, 0, 2, 2.47, 1261, 1236
AFLfast,pngtest,2,661998, 0, 11, 31, 31, 20, 0.01%, 0, 0, 2, 2.60, 1275, 1236
AFLfast,pngtest,2,667190, 0, 11, 31, 31, 20, 0.01%, 0, 0, 2, 2.60, 1288, 1236
AFLfast,pngtest,2,672330, 0, 11, 31, 31, 20, 0.01%, 0, 0, 2, 2.60, 1301, 1236
AFLfast,pngtest,2,677822, 0, 11, 31, 31, 20, 0.01%, 0, 0, 2, 2.52, 1314, 1236
AFLfast,pngtest,2,682966, 0, 11, 31, 31, 20, 0.01%, 0, 0, 2, 2.58, 1327, 1236
AFLfast,pngtest,2,688378, 0, 11, 31, 31, 20, 0.01%, 0, 0, 2, 2.61, 1341, 1236
AFLfast,pngtest,2,693769, 0, 11, 31, 31, 20, 0.01%, 0, 0, 2, 2.58, 1354, 1236
AFLfast,pngtest,2,699051, 0, 11, 31, 31, 20, 0.01%, 0, 0, 2, 2.52, 1367, 1236
AFLfast,pngtest,2,704403, 0, 11, 31, 31, 20, 0.01%, 0, 0, 2, 2.54, 1380, 1236
AFLfast,pngtest,2,709450, 0, 11, 31, 31, 20, 0.01%, 0, 0, 2, 2.48, 1392, 1236
AFLfast,pngtest,2,714790, 0, 11, 31, 31, 20, 0.01%, 0, 0, 2, 2.50, 1405, 1236
AFLfast,pngtest,2,720017, 0, 11, 31, 31, 20, 0.01%, 0, 0, 2, 2.53, 1418, 1236
AFLfast,pngtest,2,725440, 0, 11, 31, 31, 20, 0.01%, 0, 0, 2, 2.49, 1431, 1236
AFLfast,pngtest,2,730435, 0, 11, 31, 31, 20, 0.01%, 0, 0, 2, 2.47, 1443, 1236
AFLfast,pngtest,2,773542, 0, 11, 32, 32, 20, 0.01%, 0, 0, 2, 2.42, 1494, 1237
AFLfast,pngtest,2,779049, 0, 11, 32, 32, 20, 0.01%, 0, 0, 2, 2.32, 1505, 1237
AFLfast,pngtest,2,784357, 0, 11, 32, 32, 20, 0.01%, 0, 0, 2, 2.42, 1518, 1237
AFLfast,pngtest,2,789683, 0, 11, 32, 32, 20, 0.01%, 0, 0, 2, 2.49, 1531, 1237
AFLfast,pngtest,2,795030, 0, 11, 32, 32, 20, 0.01%, 0, 0, 2, 2.45, 1543, 1237
AFLfast,pngtest,2,800328, 0, 11, 32, 32, 20, 0.01%, 0, 0, 2, 2.38, 1555, 1237
AFLfast,pngtest,2,805345, 0, 11, 32, 32, 20, 0.01%, 0, 0, 2, 2.40, 1567, 1237
AFLfast,pngtest,2,810377, 0, 11, 32, 32, 20, 0.01%, 0, 0, 2, 2.35, 1578, 1237
AFLfast,pngtest,2,815550, 0, 11, 32, 32, 20, 0.01%, 0, 0, 2, 2.38, 1590, 1237
AFLfast,pngtest,2,820826, 0, 11, 32, 32, 20, 0.01%, 0, 0, 2, 2.49, 1602, 1237
AFLfast,pngtest,2,826021, 0, 11, 32, 32, 20, 0.01%, 0, 0, 2, 2.36, 1613, 1237
AFLfast,pngtest,2,831245, 0, 11, 32, 32, 20, 0.01%, 0, 0, 2, 2.35, 1625, 1237
AFLfast,pngtest,2,836143, 0, 11, 32, 32, 20, 0.01%, 0, 0, 2, 2.40, 1637, 1237
AFLfast,pngtest,2,841386, 0, 11, 32, 32, 20, 0.01%, 0, 0, 2, 2.47, 1649, 1237
AFLfast,pngtest,2,846724, 0, 11, 32, 32, 20, 0.01%, 0, 0, 2, 2.42, 1661, 1237
AFLfast,pngtest,2,851566, 0, 11, 32, 32, 20, 0.01%, 0, 0, 2, 2.42, 1673, 1237
AFLfast,pngtest,2,857045, 0, 11, 32, 32, 20, 0.01%, 0, 0, 2, 2.53, 1686, 1237
AFLfast,pngtest,2,862217, 0, 11, 32, 32, 20, 0.01%, 0, 0, 2, 2.48, 1699, 1237
AFLfast,pngtest,2,867838, 0, 11, 32, 32, 20, 0.01%, 0, 0, 2, 2.45, 1712, 1237
AFLfast,pngtest,2,872778, 0, 11, 32, 32, 20, 0.01%, 0, 0, 2, 2.35, 1723, 1237
AFLfast,pngtest,2,878147, 0, 11, 32, 32, 20, 0.01%, 0, 0, 2, 2.32, 1735, 1237
AFLfast,pngtest,2,883201, 0, 11, 32, 32, 20, 0.01%, 0, 0, 2, 2.37, 1747, 1237
AFLfast,pngtest,2,888777, 0, 11, 32, 32, 20, 0.01%, 0, 0, 2, 2.30, 1759, 1237
AFLfast,pngtest,2,894325, 0, 11, 32, 32, 20, 0.01%, 0, 0, 2, 2.41, 1772, 1237
AFLfast,pngtest,2,899345, 0, 11, 32, 32, 20, 0.01%, 0, 0, 2, 2.27, 1783, 1237
AFLfast,pngtest,2,904494, 0, 11, 32, 32, 20, 0.01%, 0, 0, 2, 2.41, 1795, 1237
AFLfast,pngtest,2,909698, 0, 11, 32, 32, 20, 0.01%, 0, 0, 2, 2.36, 1806, 1237
AFLfast,pngtest,2,914795, 0, 11, 32, 32, 20, 0.01%, 0, 0, 2, 2.45, 1818, 1237
AFLfast,pngtest,2,920300, 0, 11, 32, 32, 20, 0.01%, 0, 0, 2, 2.37, 1830, 1237
AFLfast,pngtest,2,925680, 0, 11, 32, 32, 20, 0.01%, 0, 0, 2, 2.40, 1842, 1237
AFLfast,pngtest,2,931057, 0, 11, 32, 32, 20, 0.01%, 0, 0, 2, 2.40, 1854, 1237
AFLfast,pngtest,2,935970, 0, 11, 32, 32, 20, 0.01%, 0, 0, 2, 2.42, 1866, 1237
AFLfast,pngtest,2,941367, 0, 11, 32, 32, 20, 0.01%, 0, 0, 2, 2.38, 1878, 1237
AFLfast,pngtest,2,946838, 0, 11, 32, 32, 20, 0.01%, 0, 0, 2, 2.29, 1890, 1237
AFLfast,pngtest,2,989293, 0, 11, 33, 33, 20, 0.01%, 0, 0, 2, 2.27, 1933, 1241
AFLfast,pngtest,2,994049, 0, 11, 33, 33, 20, 0.01%, 0, 0, 2, 2.75, 1944, 1241
AFLfast,pngtest,2,999421, 0, 11, 33, 33, 20, 0.01%, 0, 0, 2, 2.71, 1958, 1241
AFLfast,pngtest,2,1004468, 0, 11, 33, 33, 20, 0.01%, 0, 0, 2, 2.53, 1970, 1241
AFLfast,pngtest,2,1009626, 0, 11, 33, 33, 20, 0.01%, 0, 0, 2, 2.54, 1983, 1241
AFLfast,pngtest,2,1014974, 0, 11, 33, 33, 20, 0.01%, 0, 0, 2, 2.46, 1995, 1241
AFLfast,pngtest,2,1058139, 0, 11, 34, 34, 20, 0.01%, 0, 0, 2, 2.29, 2040, 1246
AFLfast,pngtest,2,1062850, 0, 11, 34, 34, 20, 0.01%, 0, 0, 2, 2.82, 2051, 1246
AFLfast,pngtest,2,1068253, 0, 11, 34, 34, 20, 0.01%, 0, 0, 2, 2.57, 2063, 1246
AFLfast,pngtest,2,1073141, 0, 11, 34, 34, 20, 0.01%, 0, 0, 2, 2.47, 2075, 1246
AFLfast,pngtest,2,1078191, 0, 11, 34, 34, 20, 0.01%, 0, 0, 2, 2.41, 2086, 1246
AFLfast,pngtest,2,1083505, 0, 11, 34, 34, 20, 0.01%, 0, 0, 2, 2.43, 2098, 1246
AFLfast,pngtest,2,1088684, 0, 11, 34, 34, 20, 0.01%, 0, 0, 2, 2.33, 2109, 1246
AFLfast,pngtest,2,1093646, 0, 11, 34, 34, 20, 0.01%, 0, 0, 2, 2.46, 2121, 1246
AFLfast,pngtest,2,1098920, 0, 11, 34, 34, 20, 0.01%, 0, 0, 2, 2.46, 2133, 1246
AFLfast,pngtest,2,1104149, 0, 11, 34, 34, 20, 0.01%, 0, 0, 2, 2.48, 2145, 1246
AFLfast,pngtest,2,1109345, 0, 11, 34, 34, 20, 0.01%, 0, 0, 2, 2.41, 2157, 1246
AFLfast,pngtest,2,1114358, 0, 11, 34, 34, 20, 0.01%, 0, 0, 2, 2.34, 2168, 1246
AFLfast,pngtest,2,1119632, 0, 11, 34, 34, 20, 0.01%, 0, 0, 2, 2.38, 2180, 1246
AFLfast,pngtest,2,1124418, 0, 11, 34, 34, 20, 0.01%, 0, 0, 2, 2.42, 2191, 1246
AFLfast,pngtest,2,1129478, 0, 11, 34, 34, 20, 0.01%, 0, 0, 2, 2.39, 2203, 1246
AFLfast,pngtest,2,1134801, 0, 11, 34, 34, 20, 0.01%, 0, 0, 2, 2.39, 2215, 1246
AFLfast,pngtest,2,1140082, 0, 11, 34, 34, 20, 0.01%, 0, 0, 2, 2.32, 2227, 1246
AFLfast,pngtest,2,1145321, 0, 11, 34, 34, 20, 0.01%, 0, 0, 2, 2.26, 2238, 1246
AFLfast,pngtest,2,1150229, 0, 11, 34, 34, 20, 0.01%, 0, 0, 2, 2.31, 2249, 1246
AFLfast,pngtest,2,1155365, 0, 11, 34, 34, 20, 0.01%, 0, 0, 2, 2.41, 2261, 1246
AFLfast,pngtest,2,1160642, 0, 11, 34, 34, 20, 0.01%, 0, 0, 2, 2.37, 2273, 1246
AFLfast,pngtest,2,1166179, 0, 11, 34, 34, 20, 0.01%, 0, 0, 2, 2.30, 2285, 1246
AFLfast,pngtest,2,1171349, 0, 11, 34, 34, 20, 0.01%, 0, 0, 2, 2.36, 2297, 1246
AFLfast,pngtest,2,1214157, 0, 11, 35, 35, 20, 0.01%, 0, 0, 2, 2.27, 2338, 1246
AFLfast,pngtest,2,1219217, 0, 11, 35, 35, 20, 0.01%, 0, 0, 2, 1.99, 2349, 1246
AFLfast,pngtest,2,1224041, 0, 11, 35, 35, 20, 0.01%, 0, 0, 2, 2.15, 2360, 1246
AFLfast,pngtest,2,1229633, 0, 11, 35, 35, 20, 0.01%, 0, 0, 2, 2.22, 2372, 1246
AFLfast,pngtest,2,1234573, 0, 11, 35, 35, 20, 0.01%, 0, 0, 2, 2.28, 2384, 1246
AFLfast,pngtest,2,1239826, 0, 11, 35, 35, 20, 0.01%, 0, 0, 2, 2.29, 2396, 1246
AFLfast,pngtest,2,1245121, 0, 11, 35, 35, 20, 0.01%, 0, 0, 2, 2.20, 2407, 1246
AFLfast,pngtest,2,1250806, 0, 11, 35, 35, 20, 0.01%, 0, 0, 2, 2.21, 2419, 1246
AFLfast,pngtest,2,1255678, 0, 11, 35, 35, 20, 0.01%, 0, 0, 2, 2.24, 2430, 1246
AFLfast,pngtest,2,1261269, 0, 11, 35, 35, 20, 0.01%, 0, 0, 2, 2.14, 2441, 1246
AFLfast,pngtest,2,1266289, 0, 11, 35, 35, 20, 0.01%, 0, 0, 2, 2.20, 2452, 1246
AFLfast,pngtest,2,1271665, 0, 11, 35, 35, 20, 0.01%, 0, 0, 2, 2.22, 2464, 1246
AFLfast,pngtest,2,1276791, 0, 11, 35, 35, 20, 0.01%, 0, 0, 2, 2.18, 2475, 1246
AFLfast,pngtest,2,1281938, 0, 11, 35, 35, 20, 0.01%, 0, 0, 2, 2.23, 2486, 1246
AFLfast,pngtest,2,1287621, 0, 11, 35, 35, 20, 0.01%, 0, 0, 2, 2.31, 2498, 1246
AFLfast,pngtest,2,1292781, 0, 11, 35, 35, 20, 0.01%, 0, 0, 2, 2.27, 2510, 1246
AFLfast,pngtest,2,1338186, 0, 11, 36, 36, 20, 0.01%, 0, 0, 2, 2.14, 2553, 1247
AFLfast,pngtest,2,1342698, 0, 11, 36, 36, 20, 0.01%, 0, 0, 2, 3.28, 2562, 1247
AFLfast,pngtest,2,1347999, 0, 11, 36, 36, 20, 0.01%, 0, 0, 2, 2.85, 2573, 1247
AFLfast,pngtest,2,1352898, 0, 11, 36, 36, 20, 0.01%, 0, 0, 2, 2.61, 2584, 1247
AFLfast,pngtest,2,1358245, 0, 11, 36, 36, 20, 0.01%, 0, 0, 2, 2.41, 2595, 1247
AFLfast,pngtest,2,1363010, 0, 11, 36, 36, 20, 0.01%, 0, 0, 2, 2.36, 2606, 1247
AFLfast,pngtest,2,1368221, 0, 11, 36, 36, 20, 0.01%, 0, 0, 2, 2.30, 2617, 1247
AFLfast,pngtest,2,1373721, 0, 11, 36, 36, 20, 0.01%, 0, 0, 2, 2.22, 2628, 1247
AFLfast,pngtest,2,1378501, 0, 11, 36, 36, 20, 0.01%, 0, 0, 2, 2.29, 2639, 1247
AFLfast,pngtest,2,1383823, 0, 11, 36, 36, 20, 0.01%, 0, 0, 2, 2.28, 2651, 1247
AFLfast,pngtest,2,1388894, 0, 11, 36, 36, 20, 0.01%, 0, 0, 2, 2.30, 2662, 1247
AFLfast,pngtest,2,1393942, 0, 11, 36, 36, 20, 0.01%, 0, 0, 2, 2.24, 2673, 1247
AFLfast,pngtest,2,1399061, 0, 11, 36, 36, 20, 0.01%, 0, 0, 2, 2.21, 2684, 1247
AFLfast,pngtest,2,1404211, 0, 11, 36, 36, 20, 0.01%, 0, 0, 2, 2.20, 2695, 1247
AFLfast,pngtest,2,1409597, 0, 11, 36, 36, 20, 0.01%, 0, 0, 2, 2.22, 2706, 1247
AFLfast,pngtest,2,1414841, 0, 11, 36, 36, 20, 0.01%, 0, 0, 2, 2.19, 2717, 1247
AFLfast,pngtest,2,1419846, 0, 11, 36, 36, 20, 0.01%, 0, 0, 2, 2.20, 2728, 1247
AFLfast,pngtest,2,1425452, 0, 11, 36, 36, 20, 0.01%, 0, 0, 2, 2.18, 2739, 1247
AFLfast,pngtest,2,1430381, 0, 11, 36, 36, 20, 0.01%, 0, 0, 2, 2.17, 2750, 1247
AFLfast,pngtest,2,1435393, 0, 11, 36, 36, 20, 0.01%, 0, 0, 2, 2.24, 2761, 1247
AFLfast,pngtest,2,1440491, 0, 11, 36, 36, 20, 0.01%, 0, 0, 2, 2.20, 2772, 1247
AFLfast,pngtest,2,1445718, 0, 11, 36, 36, 20, 0.01%, 0, 0, 2, 2.08, 2782, 1247
AFLfast,pngtest,2,1450915, 0, 11, 36, 36, 20, 0.01%, 0, 0, 2, 2.12, 2793, 1247
AFLfast,pngtest,2,1456241, 0, 11, 36, 36, 20, 0.01%, 0, 0, 2, 2.22, 2804, 1247
AFLfast,pngtest,2,1461378, 0, 11, 36, 36, 20, 0.01%, 0, 0, 2, 2.27, 2815, 1247
AFLfast,pngtest,2,1466687, 0, 11, 36, 36, 20, 0.01%, 0, 0, 2, 2.17, 2826, 1247
AFLfast,pngtest,2,1472050, 0, 11, 36, 36, 20, 0.01%, 0, 0, 2, 2.17, 2837, 1247
AFLfast,pngtest,2,1522660, 0, 11, 37, 37, 20, 0.01%, 0, 0, 2, 2.10, 2888, 1251
AFLfast,pngtest,2,1527003, 0, 11, 37, 37, 20, 0.01%, 0, 0, 2, 3.32, 2897, 1251
AFLfast,pngtest,2,1532302, 0, 11, 37, 37, 20, 0.01%, 0, 0, 2, 2.76, 2909, 1251
AFLfast,pngtest,2,1537383, 0, 11, 37, 37, 20, 0.01%, 0, 0, 2, 2.52, 2920, 1251
AFLfast,pngtest,2,1542589, 0, 11, 37, 37, 20, 0.01%, 0, 0, 2, 2.39, 2931, 1251
AFLfast,pngtest,2,1547969, 0, 11, 37, 37, 20, 0.01%, 0, 0, 2, 2.28, 2942, 1251
AFLfast,pngtest,2,1553078, 0, 11, 37, 37, 20, 0.01%, 0, 0, 2, 2.28, 2954, 1251
AFLfast,pngtest,2,1558241, 0, 11, 37, 37, 20, 0.01%, 0, 0, 2, 2.28, 2965, 1251
AFLfast,pngtest,2,1563425, 0, 11, 37, 37, 20, 0.01%, 0, 0, 2, 2.21, 2976, 1251
AFLfast,pngtest,2,1568495, 0, 11, 37, 37, 20, 0.01%, 0, 0, 2, 2.21, 2987, 1251
AFLfast,pngtest,2,1573837, 0, 11, 37, 37, 20, 0.01%, 0, 0, 2, 2.15, 2998, 1251
AFLfast,pngtest,2,1578866, 0, 11, 37, 37, 20, 0.01%, 0, 0, 2, 2.28, 3009, 1251
AFLfast,pngtest,2,1584497, 0, 11, 37, 37, 20, 0.01%, 0, 0, 2, 2.17, 3020, 1251
AFLfast,pngtest,2,1589437, 0, 11, 37, 37, 20, 0.01%, 0, 0, 2, 2.17, 3031, 1251
AFLfast,pngtest,2,1594673, 0, 11, 37, 37, 20, 0.01%, 0, 0, 2, 2.13, 3042, 1251
AFLfast,pngtest,2,1600196, 0, 11, 37, 37, 20, 0.01%, 0, 0, 2, 2.11, 3053, 1251
AFLfast,pngtest,2,1605219, 0, 11, 37, 37, 20, 0.01%, 0, 0, 2, 2.11, 3064, 1251
AFLfast,pngtest,2,1610785, 0, 11, 37, 37, 20, 0.01%, 0, 0, 2, 2.10, 3075, 1251
AFLfast,pngtest,2,1615577, 0, 11, 37, 37, 20, 0.01%, 0, 0, 2, 2.18, 3086, 1251
AFLfast,pngtest,2,1620953, 0, 11, 37, 37, 20, 0.01%, 0, 0, 2, 2.14, 3097, 1251
AFLfast,pngtest,2,1626525, 0, 11, 37, 37, 20, 0.01%, 0, 0, 2, 2.12, 3108, 1251
AFLfast,pngtest,2,1631539, 0, 11, 37, 37, 20, 0.01%, 0, 0, 2, 2.13, 3119, 1251
AFLfast,pngtest,2,1636930, 0, 11, 37, 37, 20, 0.01%, 0, 0, 2, 2.17, 3130, 1251
AFLfast,pngtest,2,1641841, 0, 11, 37, 37, 20, 0.01%, 0, 0, 2, 2.16, 3141, 1251
AFLfast,pngtest,2,1647542, 0, 11, 37, 37, 20, 0.01%, 0, 0, 2, 2.16, 3152, 1251
AFLfast,pngtest,2,1652366, 0, 11, 37, 37, 20, 0.01%, 0, 0, 2, 2.18, 3163, 1251
AFLfast,pngtest,2,1657969, 0, 11, 37, 37, 20, 0.01%, 0, 0, 2, 2.26, 3174, 1251
AFLfast,pngtest,2,1662899, 0, 11, 37, 37, 20, 0.01%, 0, 0, 2, 2.20, 3185, 1251
AFLfast,pngtest,2,1668309, 0, 11, 37, 37, 20, 0.01%, 0, 0, 2, 2.16, 3196, 1251
AFLfast,pngtest,2,1673405, 0, 11, 37, 37, 20, 0.01%, 0, 0, 2, 2.29, 3207, 1251
AFLfast,pngtest,2,1679101, 0, 11, 37, 37, 20, 0.01%, 0, 0, 2, 2.17, 3218, 1251
AFLfast,pngtest,2,1684201, 0, 11, 37, 37, 20, 0.01%, 0, 0, 2, 2.16, 3229, 1251
AFLfast,pngtest,2,1689301, 0, 11, 37, 37, 20, 0.01%, 0, 0, 2, 2.14, 3240, 1251
AFLfast,pngtest,2,1694467, 0, 11, 37, 37, 20, 0.01%, 0, 0, 2, 2.16, 3251, 1251
AFLfast,pngtest,2,1699686, 0, 11, 37, 37, 20, 0.01%, 0, 0, 2, 2.18, 3262, 1251
AFLfast,pngtest,2,1705243, 0, 11, 37, 37, 20, 0.01%, 0, 0, 2, 2.16, 3273, 1251
AFLfast,pngtest,2,1710594, 0, 11, 37, 37, 20, 0.01%, 0, 0, 2, 2.18, 3284, 1251
AFLfast,pngtest,2,1716061, 0, 11, 37, 37, 20, 0.01%, 0, 0, 2, 2.22, 3296, 1251
AFLfast,pngtest,2,1721102, 0, 11, 37, 37, 20, 0.01%, 0, 0, 2, 2.20, 3307, 1251
AFLfast,pngtest,2,1726469, 0, 11, 37, 37, 20, 0.01%, 0, 0, 2, 2.15, 3318, 1251
AFLfast,pngtest,2,1731878, 0, 11, 37, 37, 20, 0.01%, 0, 0, 2, 2.19, 3329, 1251
AFLfast,pngtest,2,1737109, 0, 11, 37, 37, 20, 0.01%, 0, 0, 2, 2.16, 3340, 1251
AFLfast,pngtest,2,1742125, 0, 11, 37, 37, 20, 0.01%, 0, 0, 2, 2.18, 3351, 1251
AFLfast,pngtest,2,1747033, 0, 11, 37, 37, 20, 0.01%, 0, 0, 2, 2.26, 3362, 1251
AFLfast,pngtest,2,1752343, 0, 11, 37, 37, 20, 0.01%, 0, 0, 2, 2.21, 3373, 1251
AFLfast,pngtest,2,1757731, 0, 11, 37, 37, 20, 0.01%, 0, 0, 2, 2.15, 3384, 1251
AFLfast,pngtest,2,1762749, 0, 11, 37, 37, 20, 0.01%, 0, 0, 2, 2.20, 3395, 1251
AFLfast,pngtest,2,1768076, 0, 11, 37, 37, 20, 0.01%, 0, 0, 2, 2.30, 3406, 1251
AFLfast,pngtest,2,1772843, 0, 11, 37, 37, 20, 0.01%, 0, 0, 2, 2.34, 3417, 1251
AFLfast,pngtest,2,1778479, 0, 11, 37, 37, 20, 0.01%, 0, 0, 2, 2.21, 3428, 1251
AFLfast,pngtest,2,1783509, 0, 11, 37, 37, 20, 0.01%, 0, 0, 2, 2.24, 3439, 1251
AFLfast,pngtest,2,1788865, 0, 11, 37, 37, 20, 0.01%, 0, 0, 2, 2.18, 3450, 1251
AFLfast,pngtest,2,1793853, 0, 11, 37, 37, 20, 0.01%, 0, 0, 2, 2.17, 3461, 1251
AFLfast,pngtest,2,1799141, 0, 11, 37, 37, 20, 0.01%, 0, 0, 2, 2.14, 3472, 1251
AFLfast,pngtest,2,1804435, 0, 11, 37, 37, 20, 0.01%, 0, 0, 2, 2.11, 3483, 1251
AFLfast,pngtest,2,1809862, 0, 11, 37, 37, 20, 0.01%, 0, 0, 2, 2.13, 3494, 1251
