alg,SUT,rep,# unix_time, cycles_done, cur_path, paths_total, pending_total, pending_favs, map_size, unique_crashes, unique_hangs, max_depth, execs_per_sec
AFLfast,pdftops,0,1625205226, 0, 0, 11, 11, 10, 9.99%, 0, 0, 1, 2.19
AFLfast,pdftops,0,1625206354, 0, 0, 12, 12, 10, 10.04%, 0, 0, 2, 0.97
AFLfast,pdftops,0,1625206408, 0, 0, 13, 13, 10, 10.07%, 0, 0, 2, 0.92
AFLfast,pdftops,0,1625206419, 0, 0, 14, 14, 10, 10.07%, 0, 0, 2, 0.92
AFLfast,pdftops,0,1625206430, 0, 0, 15, 15, 10, 10.07%, 0, 0, 2, 0.92
AFLfast,pdftops,0,1625206522, 0, 0, 19, 19, 10, 10.09%, 0, 0, 2, 8.13
AFLfast,pdftops,0,1625206528, 0, 0, 22, 22, 10, 10.12%, 0, 0, 2, 8.28
AFLfast,pdftops,0,1625206533, 0, 0, 24, 24, 10, 10.12%, 0, 0, 2, 1.01
AFLfast,pdftops,0,1625206544, 0, 0, 26, 26, 10, 10.12%, 0, 0, 2, 7.23
AFLfast,pdftops,0,1625206549, 0, 0, 27, 27, 10, 10.16%, 0, 0, 2, 7.99
AFLfast,pdftops,0,1625206554, 0, 0, 31, 31, 10, 10.16%, 0, 0, 2, 8.04
AFLfast,pdftops,0,1625206559, 0, 0, 35, 35, 10, 10.19%, 0, 0, 2, 8.07
AFLfast,pdftops,0,1625206564, 0, 0, 38, 38, 10, 10.23%, 0, 0, 2, 6.69
AFLfast,pdftops,0,1625206569, 0, 0, 39, 39, 10, 10.23%, 0, 0, 2, 6.78
AFLfast,pdftops,0,1625206574, 0, 0, 41, 41, 10, 10.23%, 0, 0, 2, 6.93
AFLfast,pdftops,0,1625206580, 0, 0, 44, 44, 10, 10.28%, 0, 0, 2, 6.70
AFLfast,pdftops,0,1625206590, 0, 0, 45, 45, 10, 10.28%, 0, 0, 2, 1.02
AFLfast,pdftops,0,1625206596, 0, 0, 46, 46, 10, 10.28%, 0, 0, 2, 2.01
AFLfast,pdftops,0,1625206601, 0, 0, 47, 47, 10, 10.29%, 0, 0, 2, 3.51
AFLfast,pdftops,0,1625206606, 0, 0, 48, 48, 10, 10.29%, 0, 0, 2, 3.52
AFLfast,pdftops,0,1625206617, 0, 0, 50, 50, 10, 10.36%, 0, 0, 2, 3.32
AFLfast,pdftops,0,1625206622, 0, 0, 51, 51, 10, 10.36%, 0, 0, 2, 2.69
AFLfast,pdftops,0,1625206627, 0, 0, 52, 52, 10, 10.36%, 0, 0, 2, 2.74
AFLfast,pdftops,0,1625206643, 0, 0, 53, 53, 10, 10.36%, 0, 0, 2, 3.04
AFLfast,pdftops,0,1625206654, 0, 0, 54, 54, 10, 10.36%, 0, 0, 2, 2.32
AFLfast,pdftops,0,1625206664, 0, 0, 56, 56, 10, 10.39%, 0, 0, 2, 5.80
AFLfast,pdftops,0,1625206674, 0, 0, 57, 57, 10, 10.39%, 0, 0, 2, 7.50
AFLfast,pdftops,0,1625206679, 0, 0, 59, 59, 10, 10.39%, 0, 0, 2, 5.28
AFLfast,pdftops,0,1625206685, 0, 0, 60, 60, 10, 10.39%, 0, 0, 2, 5.55
AFLfast,pdftops,0,1625206690, 0, 0, 62, 62, 10, 10.39%, 0, 0, 2, 7.38
AFLfast,pdftops,0,1625206695, 0, 0, 63, 63, 10, 10.40%, 0, 0, 2, 7.62
AFLfast,pdftops,0,1625206700, 0, 0, 67, 67, 10, 10.41%, 0, 0, 2, 7.71
AFLfast,pdftops,0,1625206705, 0, 0, 70, 70, 10, 10.44%, 0, 0, 2, 6.46
AFLfast,pdftops,0,1625206711, 0, 0, 72, 72, 10, 10.45%, 0, 0, 2, 0.83
AFLfast,pdftops,0,1625206721, 0, 0, 75, 75, 10, 10.45%, 0, 0, 2, 7.81
AFLfast,pdftops,0,1625206727, 0, 0, 80, 80, 10, 10.46%, 0, 0, 2, 7.75
AFLfast,pdftops,0,1625206732, 0, 0, 84, 84, 10, 10.47%, 0, 0, 2, 7.85
AFLfast,pdftops,0,1625206737, 0, 0, 87, 87, 10, 10.47%, 0, 0, 2, 7.99
AFLfast,pdftops,0,1625206742, 0, 0, 90, 90, 10, 10.47%, 0, 0, 2, 7.81
AFLfast,pdftops,0,1625206747, 0, 0, 91, 91, 10, 10.53%, 0, 0, 2, 1.42
AFLfast,pdftops,0,1625206752, 0, 0, 93, 93, 10, 10.54%, 0, 0, 2, 7.52
AFLfast,pdftops,0,1625206758, 0, 0, 95, 95, 10, 10.54%, 0, 0, 2, 5.78
AFLfast,pdftops,0,1625206763, 0, 0, 99, 99, 10, 10.54%, 0, 0, 2, 7.06
AFLfast,pdftops,0,1625206769, 0, 0, 100, 100, 10, 10.55%, 0, 0, 2, 0.52
AFLfast,pdftops,0,1625206787, 0, 0, 101, 101, 10, 10.55%, 0, 0, 2, 0.68
AFLfast,pdftops,0,1625206798, 0, 0, 103, 103, 10, 10.55%, 0, 0, 2, 5.27
AFLfast,pdftops,0,1625206803, 0, 0, 105, 105, 10, 10.57%, 0, 0, 2, 6.36
AFLfast,pdftops,0,1625206808, 0, 0, 106, 106, 10, 10.57%, 0, 0, 2, 6.07
AFLfast,pdftops,0,1625206814, 0, 0, 109, 109, 10, 10.62%, 0, 0, 2, 5.22
AFLfast,pdftops,0,1625206819, 0, 0, 111, 111, 10, 10.62%, 0, 0, 2, 4.37
AFLfast,pdftops,0,1625206824, 0, 0, 113, 113, 10, 10.64%, 0, 0, 2, 5.12
AFLfast,pdftops,0,1625206829, 0, 0, 115, 115, 10, 10.64%, 0, 0, 2, 5.33
AFLfast,pdftops,0,1625206834, 0, 0, 117, 117, 10, 10.65%, 0, 0, 2, 5.36
AFLfast,pdftops,0,1625206840, 0, 0, 118, 118, 10, 10.65%, 0, 0, 2, 4.07
AFLfast,pdftops,0,1625206845, 0, 0, 119, 119, 10, 10.67%, 0, 0, 2, 3.27
AFLfast,pdftops,0,1625206850, 0, 0, 121, 121, 10, 10.68%, 0, 0, 2, 3.90
AFLfast,pdftops,0,1625206855, 0, 0, 122, 122, 10, 10.68%, 0, 0, 2, 3.39
AFLfast,pdftops,0,1625206860, 0, 0, 125, 125, 10, 10.68%, 0, 0, 2, 4.73
AFLfast,pdftops,0,1625206865, 0, 0, 126, 126, 10, 10.68%, 0, 0, 2, 4.35
AFLfast,pdftops,0,1625206870, 0, 0, 127, 127, 10, 10.69%, 0, 0, 2, 3.28
AFLfast,pdftops,0,1625206876, 0, 0, 129, 129, 10, 10.70%, 0, 0, 2, 3.38
AFLfast,pdftops,0,1625206881, 0, 0, 131, 131, 10, 10.70%, 0, 0, 2, 4.13
AFLfast,pdftops,0,1625206886, 0, 0, 132, 132, 10, 10.70%, 0, 0, 2, 4.19
AFLfast,pdftops,0,1625206892, 0, 0, 134, 134, 10, 10.70%, 0, 0, 2, 3.97
AFLfast,pdftops,0,1625206897, 0, 0, 135, 135, 10, 10.70%, 0, 0, 2, 4.80
AFLfast,pdftops,0,1625206902, 0, 0, 137, 137, 10, 10.70%, 0, 0, 2, 4.79
AFLfast,pdftops,0,1625206907, 0, 0, 138, 138, 10, 10.71%, 0, 0, 2, 6.51
AFLfast,pdftops,0,1625206913, 0, 0, 139, 139, 10, 10.71%, 0, 0, 2, 0.67
AFLfast,pdftops,0,1625206924, 0, 0, 140, 140, 10, 10.71%, 0, 0, 2, 1.67
AFLfast,pdftops,0,1625206929, 0, 0, 142, 142, 10, 10.71%, 0, 0, 2, 3.10
AFLfast,pdftops,0,1625206936, 0, 0, 143, 143, 10, 10.71%, 0, 0, 2, 0.40
AFLfast,pdftops,0,1625206959, 0, 0, 144, 144, 10, 10.71%, 0, 0, 2, 0.61
AFLfast,pdftops,0,1625206964, 0, 0, 145, 145, 10, 10.71%, 0, 0, 2, 1.04
AFLfast,pdftops,0,1625206978, 0, 0, 147, 147, 10, 10.72%, 0, 0, 2, 0.31
AFLfast,pdftops,0,1625207011, 0, 0, 148, 148, 10, 10.72%, 0, 0, 2, 1.01
AFLfast,pdftops,0,1625207017, 0, 0, 149, 149, 10, 10.72%, 0, 0, 2, 0.97
AFLfast,pdftops,0,1625207035, 0, 0, 150, 150, 10, 10.73%, 0, 0, 2, 0.90
AFLfast,pdftops,0,1625207041, 0, 0, 151, 151, 10, 10.73%, 0, 0, 2, 1.24
AFLfast,pdftops,0,1625207051, 0, 0, 153, 153, 10, 10.74%, 0, 0, 2, 5.44
AFLfast,pdftops,0,1625207057, 0, 0, 154, 154, 10, 10.74%, 0, 0, 2, 0.69
AFLfast,pdftops,0,1625207068, 0, 0, 155, 155, 10, 10.74%, 0, 0, 2, 0.89
AFLfast,pdftops,0,1625207078, 0, 0, 157, 157, 10, 10.74%, 0, 0, 2, 2.72
AFLfast,pdftops,0,1625207084, 0, 0, 159, 159, 10, 10.74%, 0, 0, 2, 2.85
AFLfast,pdftops,0,1625207089, 0, 0, 160, 160, 10, 10.74%, 0, 0, 2, 2.31
AFLfast,pdftops,0,1625207101, 0, 0, 161, 161, 10, 10.74%, 0, 0, 2, 0.35
AFLfast,pdftops,0,1625207129, 0, 0, 163, 163, 10, 10.74%, 0, 0, 2, 4.23
AFLfast,pdftops,0,1625207134, 0, 0, 164, 164, 10, 10.74%, 0, 0, 2, 3.28
AFLfast,pdftops,0,1625207139, 0, 0, 165, 165, 10, 10.74%, 0, 0, 2, 2.63
AFLfast,pdftops,0,1625207145, 0, 0, 166, 166, 10, 10.74%, 0, 0, 2, 2.17
AFLfast,pdftops,0,1625207157, 0, 0, 167, 167, 10, 10.74%, 0, 0, 2, 1.86
AFLfast,pdftops,0,1625207168, 0, 0, 168, 168, 10, 10.74%, 0, 0, 2, 6.82
AFLfast,pdftops,0,1625207180, 0, 0, 170, 170, 10, 10.74%, 0, 0, 2, 3.37
AFLfast,pdftops,0,1625207190, 0, 0, 171, 171, 10, 10.74%, 0, 0, 2, 2.29
AFLfast,pdftops,0,1625207208, 0, 0, 172, 172, 10, 10.74%, 0, 0, 2, 1.79
AFLfast,pdftops,0,1625207235, 0, 0, 173, 173, 10, 10.74%, 0, 0, 2, 1.35
AFLfast,pdftops,0,1625207240, 0, 0, 174, 174, 10, 10.75%, 0, 0, 2, 6.32
AFLfast,pdftops,0,1625207245, 0, 0, 176, 176, 10, 10.75%, 0, 0, 2, 5.37
AFLfast,pdftops,0,1625207250, 0, 0, 177, 177, 10, 10.75%, 0, 0, 2, 4.80
AFLfast,pdftops,0,1625207256, 0, 0, 178, 178, 10, 10.76%, 0, 0, 2, 3.89
AFLfast,pdftops,0,1625207266, 0, 0, 180, 180, 10, 10.76%, 0, 0, 2, 4.23
AFLfast,pdftops,0,1625207271, 0, 0, 181, 181, 10, 10.76%, 0, 0, 2, 3.31
AFLfast,pdftops,0,1625207282, 0, 0, 182, 182, 10, 10.77%, 0, 0, 2, 0.59
AFLfast,pdftops,0,1625207298, 0, 0, 183, 183, 10, 10.78%, 0, 0, 2, 4.67
AFLfast,pdftops,0,1625207303, 0, 0, 184, 184, 10, 10.78%, 0, 0, 2, 3.78
AFLfast,pdftops,0,1625207308, 0, 0, 186, 186, 10, 10.78%, 0, 0, 2, 3.42
AFLfast,pdftops,0,1625207313, 0, 0, 187, 187, 10, 10.78%, 0, 0, 2, 3.39
AFLfast,pdftops,0,1625207318, 0, 0, 188, 188, 10, 10.78%, 0, 0, 2, 2.98
AFLfast,pdftops,0,1625207325, 0, 0, 190, 190, 10, 10.78%, 0, 0, 2, 2.50
AFLfast,pdftops,0,1625207336, 0, 0, 191, 191, 10, 10.78%, 0, 0, 2, 1.72
AFLfast,pdftops,0,1625207348, 0, 0, 192, 192, 10, 10.78%, 0, 0, 2, 6.02
AFLfast,pdftops,0,1625207353, 0, 0, 193, 193, 10, 10.79%, 0, 0, 2, 4.24
AFLfast,pdftops,0,1625207358, 0, 0, 194, 194, 10, 10.79%, 0, 0, 2, 3.25
AFLfast,pdftops,0,1625207376, 0, 0, 195, 195, 10, 10.79%, 0, 0, 2, 1.93
AFLfast,pdftops,0,1625207387, 0, 0, 196, 196, 10, 10.79%, 0, 0, 2, 1.42
AFLfast,pdftops,0,1625207399, 0, 0, 197, 197, 10, 10.79%, 0, 0, 2, 1.15
AFLfast,pdftops,0,1625207411, 0, 0, 198, 198, 10, 10.79%, 0, 0, 2, 1.01
AFLfast,pdftops,0,1625207423, 0, 0, 199, 199, 10, 10.79%, 0, 0, 2, 0.97
AFLfast,pdftops,0,1625207434, 0, 0, 200, 200, 10, 10.79%, 0, 0, 2, 0.98
AFLfast,pdftops,0,1625207445, 0, 0, 201, 201, 10, 10.79%, 0, 0, 2, 4.32
AFLfast,pdftops,0,1625207455, 0, 0, 203, 203, 10, 10.79%, 0, 0, 2, 4.73
AFLfast,pdftops,0,1625207460, 0, 0, 204, 204, 10, 10.79%, 0, 0, 2, 0.76
AFLfast,pdftops,0,1625207477, 0, 0, 206, 206, 10, 10.79%, 0, 0, 2, 1.94
AFLfast,pdftops,0,1625207482, 0, 0, 207, 207, 10, 10.79%, 0, 0, 2, 2.68
AFLfast,pdftops,0,1625207488, 0, 0, 208, 208, 10, 10.81%, 0, 0, 2, 2.36
AFLfast,pdftops,0,1625207499, 0, 0, 210, 210, 10, 10.81%, 0, 0, 2, 2.86
AFLfast,pdftops,0,1625207511, 0, 0, 211, 211, 10, 10.81%, 0, 0, 2, 1.91
AFLfast,pdftops,0,1625207522, 0, 0, 212, 212, 10, 10.81%, 0, 0, 2, 1.47
AFLfast,pdftops,0,1625207528, 0, 0, 213, 213, 10, 10.81%, 0, 0, 2, 1.49
AFLfast,pdftops,0,1625207540, 0, 0, 214, 214, 10, 10.81%, 0, 0, 2, 1.31
AFLfast,pdftops,0,1625207557, 0, 0, 216, 216, 10, 10.81%, 0, 0, 2, 1.80
AFLfast,pdftops,0,1625207569, 0, 0, 217, 217, 10, 10.81%, 0, 0, 2, 1.35
AFLfast,pdftops,0,1625207581, 0, 0, 218, 218, 10, 10.81%, 0, 0, 2, 1.10
AFLfast,pdftops,0,1625207596, 0, 0, 220, 220, 10, 10.82%, 0, 0, 2, 0.80
AFLfast,pdftops,0,1625207608, 0, 0, 221, 221, 10, 10.82%, 0, 0, 2, 0.82
AFLfast,pdftops,0,1625207619, 0, 0, 222, 222, 10, 10.82%, 0, 0, 2, 0.87
AFLfast,pdftops,0,1625207630, 0, 0, 223, 223, 10, 10.82%, 0, 0, 2, 1.01
AFLfast,pdftops,0,1625207646, 0, 0, 224, 224, 10, 10.82%, 0, 0, 2, 0.94
AFLfast,pdftops,0,1625207657, 0, 0, 225, 225, 10, 10.82%, 0, 0, 2, 0.91
AFLfast,pdftops,0,1625207675, 0, 0, 226, 226, 10, 10.82%, 0, 0, 2, 1.34
AFLfast,pdftops,0,1625207686, 0, 0, 227, 227, 10, 10.82%, 0, 0, 2, 1.11
AFLfast,pdftops,0,1625207699, 0, 0, 229, 229, 10, 10.82%, 0, 0, 2, 0.85
AFLfast,pdftops,0,1625207710, 0, 0, 231, 231, 10, 10.82%, 0, 0, 2, 3.08
AFLfast,pdftops,0,1625207716, 0, 0, 232, 232, 10, 10.82%, 0, 0, 2, 2.46
AFLfast,pdftops,0,1625207728, 0, 0, 233, 233, 10, 10.82%, 0, 0, 2, 1.72
AFLfast,pdftops,0,1625207739, 0, 0, 234, 234, 10, 10.82%, 0, 0, 2, 1.33
AFLfast,pdftops,0,1625207757, 0, 0, 235, 235, 10, 10.82%, 0, 0, 2, 0.88
AFLfast,pdftops,0,1625207762, 0, 0, 236, 236, 10, 10.83%, 0, 0, 2, 3.84
AFLfast,pdftops,0,1625207775, 0, 0, 237, 237, 10, 10.83%, 0, 0, 2, 2.45
AFLfast,pdftops,0,1625207785, 0, 0, 238, 238, 10, 10.83%, 0, 0, 2, 1.78
AFLfast,pdftops,0,1625207796, 0, 0, 239, 239, 10, 10.83%, 0, 0, 2, 1.37
AFLfast,pdftops,0,1625207807, 0, 0, 240, 240, 10, 10.83%, 0, 0, 2, 7.01
AFLfast,pdftops,0,1625207813, 0, 0, 241, 241, 10, 10.83%, 0, 0, 2, 1.07
AFLfast,pdftops,0,1625207825, 0, 0, 242, 242, 10, 10.83%, 0, 0, 2, 0.96
AFLfast,pdftops,0,1625207837, 0, 0, 243, 243, 10, 10.83%, 0, 0, 2, 0.89
AFLfast,pdftops,0,1625207848, 0, 0, 244, 244, 10, 10.83%, 0, 0, 2, 1.11
AFLfast,pdftops,0,1625207854, 0, 0, 245, 245, 10, 10.83%, 0, 0, 2, 1.35
AFLfast,pdftops,0,1625207872, 0, 0, 246, 246, 10, 10.83%, 0, 0, 2, 1.07
AFLfast,pdftops,0,1625207887, 0, 0, 247, 247, 10, 10.83%, 0, 0, 2, 1.04
AFLfast,pdftops,0,1625207898, 0, 0, 248, 248, 10, 10.84%, 0, 0, 2, 0.97
AFLfast,pdftops,0,1625207909, 0, 0, 249, 249, 10, 10.84%, 0, 0, 2, 0.90
AFLfast,pdftops,0,1625207924, 0, 0, 250, 250, 10, 10.84%, 0, 0, 2, 6.76
AFLfast,pdftops,0,1625207929, 0, 0, 251, 251, 10, 10.84%, 0, 0, 2, 0.91
AFLfast,pdftops,0,1625207941, 0, 0, 252, 252, 10, 10.84%, 0, 0, 2, 0.99
AFLfast,pdftops,0,1625207946, 0, 0, 253, 253, 10, 10.84%, 0, 0, 2, 1.01
AFLfast,pdftops,0,1625207957, 0, 0, 254, 254, 10, 10.84%, 0, 0, 2, 0.91
AFLfast,pdftops,0,1625207969, 0, 0, 255, 255, 10, 10.84%, 0, 0, 2, 0.87
AFLfast,pdftops,0,1625207980, 0, 0, 256, 256, 10, 10.84%, 0, 0, 2, 0.84
AFLfast,pdftops,0,1625207997, 0, 0, 257, 257, 10, 10.84%, 0, 0, 2, 0.92
AFLfast,pdftops,0,1625208008, 0, 0, 258, 258, 10, 10.84%, 0, 0, 2, 0.87
AFLfast,pdftops,0,1625208020, 0, 0, 259, 259, 10, 10.84%, 0, 0, 2, 0.85
AFLfast,pdftops,0,1625208032, 0, 0, 260, 260, 10, 10.84%, 0, 0, 2, 0.86
AFLfast,pdftops,0,1625208043, 0, 0, 261, 261, 10, 10.84%, 0, 0, 2, 1.70
AFLfast,pdftops,0,1625208049, 0, 0, 262, 262, 10, 10.84%, 0, 0, 2, 1.46
AFLfast,pdftops,0,1625208067, 0, 0, 263, 263, 10, 10.84%, 0, 0, 2, 1.08
AFLfast,pdftops,0,1625208078, 0, 0, 264, 264, 10, 10.84%, 0, 0, 2, 0.95
AFLfast,pdftops,0,1625208089, 0, 0, 265, 265, 10, 10.84%, 0, 0, 2, 1.22
AFLfast,pdftops,0,1625208094, 0, 0, 266, 266, 10, 10.84%, 0, 0, 2, 1.68
AFLfast,pdftops,0,1625208105, 0, 0, 267, 267, 10, 10.84%, 0, 0, 2, 1.82
AFLfast,pdftops,0,1625208110, 0, 0, 268, 268, 10, 10.84%, 0, 0, 2, 1.98
AFLfast,pdftops,0,1625208116, 0, 0, 269, 269, 10, 10.84%, 0, 0, 2, 1.69
AFLfast,pdftops,0,1625208127, 0, 0, 270, 270, 10, 10.84%, 0, 0, 2, 1.35
AFLfast,pdftops,0,1625208137, 0, 0, 271, 271, 10, 10.84%, 0, 0, 2, 1.18
AFLfast,pdftops,0,1625208148, 0, 0, 272, 272, 10, 10.84%, 0, 0, 2, 1.02
AFLfast,pdftops,0,1625208165, 0, 0, 273, 273, 10, 10.84%, 0, 0, 2, 0.92
AFLfast,pdftops,0,1625208177, 0, 0, 274, 274, 10, 10.84%, 0, 0, 2, 1.12
AFLfast,pdftops,0,1625208188, 0, 0, 275, 275, 10, 10.84%, 0, 0, 2, 1.06
AFLfast,pdftops,0,1625208193, 0, 0, 276, 276, 10, 10.84%, 0, 0, 2, 1.03
AFLfast,pdftops,0,1625208206, 0, 0, 277, 277, 10, 10.84%, 0, 0, 2, 0.93
AFLfast,pdftops,0,1625208223, 0, 0, 278, 278, 10, 10.84%, 0, 0, 2, 0.86
AFLfast,pdftops,0,1625208233, 0, 0, 279, 279, 10, 10.84%, 0, 0, 2, 1.67
AFLfast,pdftops,0,1625208239, 0, 0, 280, 280, 10, 10.84%, 0, 0, 2, 1.59
AFLfast,pdftops,0,1625208250, 0, 0, 281, 281, 10, 10.84%, 0, 0, 2, 1.33
AFLfast,pdftops,0,1625208256, 0, 0, 282, 282, 10, 10.84%, 0, 0, 2, 1.28
AFLfast,pdftops,0,1625208268, 0, 0, 283, 283, 10, 10.84%, 0, 0, 2, 1.07
AFLfast,pdftops,0,1625208278, 0, 0, 284, 284, 10, 10.84%, 0, 0, 2, 1.51
AFLfast,pdftops,0,1625208284, 0, 0, 285, 285, 10, 10.84%, 0, 0, 2, 1.74
AFLfast,pdftops,0,1625208296, 0, 0, 286, 286, 10, 10.84%, 0, 0, 2, 1.73
AFLfast,pdftops,0,1625208301, 0, 0, 287, 287, 10, 10.84%, 0, 0, 2, 1.87
AFLfast,pdftops,0,1625208313, 0, 0, 288, 288, 10, 10.84%, 0, 0, 2, 1.39
AFLfast,pdftops,0,1625208329, 0, 0, 289, 289, 10, 10.84%, 0, 0, 2, 1.85
AFLfast,pdftops,0,1625208335, 0, 0, 290, 290, 10, 10.84%, 0, 0, 2, 1.56
AFLfast,pdftops,0,1625208347, 0, 0, 291, 291, 10, 10.84%, 0, 0, 2, 1.55
AFLfast,pdftops,0,1625208357, 0, 0, 292, 292, 10, 10.84%, 0, 0, 2, 1.78
AFLfast,pdftops,0,1625208369, 0, 0, 294, 294, 10, 10.84%, 0, 0, 2, 2.02
AFLfast,pdftops,0,1625208390, 0, 0, 295, 295, 10, 10.84%, 0, 0, 2, 1.94
AFLfast,pdftops,0,1625208396, 0, 0, 296, 296, 10, 10.84%, 0, 0, 2, 1.66
AFLfast,pdftops,0,1625208407, 0, 0, 297, 297, 10, 10.84%, 0, 0, 2, 1.41
AFLfast,pdftops,0,1625208418, 0, 0, 298, 298, 10, 10.84%, 0, 0, 2, 1.26
AFLfast,pdftops,0,1625208430, 0, 0, 299, 299, 10, 10.84%, 0, 0, 2, 1.27
AFLfast,pdftops,0,1625208442, 0, 0, 300, 300, 10, 10.84%, 0, 0, 2, 1.93
AFLfast,pdftops,0,1625208448, 0, 0, 301, 301, 10, 10.84%, 0, 0, 2, 2.27
AFLfast,pdftops,0,1625208453, 0, 0, 302, 302, 10, 10.84%, 0, 0, 2, 1.96
AFLfast,pdftops,0,1625208463, 0, 0, 303, 303, 10, 10.84%, 0, 0, 2, 2.08
AFLfast,pdftops,0,1625208469, 0, 0, 304, 304, 10, 10.85%, 0, 0, 2, 1.97
AFLfast,pdftops,0,1625208475, 0, 0, 305, 305, 10, 10.85%, 0, 0, 2, 1.68
AFLfast,pdftops,0,1625208485, 0, 0, 306, 306, 10, 10.85%, 0, 0, 2, 1.57
AFLfast,pdftops,0,1625208490, 0, 0, 307, 307, 10, 10.87%, 0, 0, 2, 1.50
AFLfast,pdftops,0,1625208495, 0, 0, 308, 308, 10, 10.87%, 0, 0, 2, 1.66
AFLfast,pdftops,0,1625208501, 0, 0, 309, 309, 10, 10.87%, 0, 0, 2, 2.09
AFLfast,pdftops,0,1625208507, 0, 0, 310, 310, 10, 10.87%, 0, 0, 2, 1.79
AFLfast,pdftops,0,1625208518, 0, 0, 312, 312, 10, 10.87%, 0, 0, 2, 1.83
AFLfast,pdftops,0,1625208530, 0, 0, 313, 313, 10, 10.87%, 0, 0, 2, 1.38
AFLfast,pdftops,0,1625208541, 0, 0, 314, 314, 10, 10.87%, 0, 0, 2, 1.44
AFLfast,pdftops,0,1625208546, 0, 0, 315, 315, 10, 10.88%, 0, 0, 2, 1.44
AFLfast,pdftops,0,1625208558, 0, 0, 316, 316, 10, 10.88%, 0, 0, 2, 1.19
AFLfast,pdftops,0,1625208569, 0, 0, 317, 317, 10, 10.88%, 0, 0, 2, 1.24
AFLfast,pdftops,0,1625208574, 0, 0, 318, 318, 10, 10.88%, 0, 0, 2, 1.27
AFLfast,pdftops,0,1625208585, 0, 0, 319, 319, 10, 10.88%, 0, 0, 2, 1.55
AFLfast,pdftops,0,1625208590, 0, 0, 320, 320, 10, 10.88%, 0, 0, 2, 1.50
AFLfast,pdftops,0,1625208595, 0, 0, 321, 321, 10, 10.88%, 0, 0, 2, 1.42
AFLfast,pdftops,0,1625208601, 0, 0, 322, 322, 10, 10.88%, 0, 0, 2, 1.78
AFLfast,pdftops,0,1625208606, 0, 0, 323, 323, 10, 10.88%, 0, 0, 2, 1.83
AFLfast,pdftops,0,1625208611, 0, 0, 324, 324, 10, 10.88%, 0, 0, 2, 2.03
AFLfast,pdftops,0,1625208623, 0, 0, 325, 325, 10, 10.88%, 0, 0, 2, 1.48
AFLfast,pdftops,0,1625208629, 0, 0, 326, 326, 10, 10.88%, 0, 0, 2, 1.41
AFLfast,pdftops,0,1625208634, 0, 0, 327, 327, 10, 10.88%, 0, 0, 2, 2.05
AFLfast,pdftops,0,1625208639, 0, 0, 328, 328, 10, 10.88%, 0, 0, 2, 2.41
AFLfast,pdftops,0,1625208645, 0, 0, 329, 329, 10, 10.88%, 0, 0, 2, 2.04
AFLfast,pdftops,0,1625208656, 0, 0, 330, 330, 10, 10.88%, 0, 0, 2, 1.87
AFLfast,pdftops,0,1625208661, 0, 0, 332, 332, 10, 10.88%, 0, 0, 2, 2.34
AFLfast,pdftops,0,1625208666, 0, 0, 333, 333, 10, 10.88%, 0, 0, 2, 2.16
AFLfast,pdftops,0,1625208677, 0, 0, 334, 334, 10, 10.88%, 0, 0, 2, 1.74
AFLfast,pdftops,0,1625208683, 0, 0, 335, 335, 10, 10.88%, 0, 0, 2, 1.93
AFLfast,pdftops,0,1625208693, 0, 0, 336, 336, 10, 10.88%, 0, 0, 2, 1.49
AFLfast,pdftops,0,1625208704, 0, 0, 337, 337, 10, 10.88%, 0, 0, 2, 1.85
AFLfast,pdftops,0,1625208715, 0, 0, 338, 338, 10, 10.88%, 0, 0, 2, 2.10
AFLfast,pdftops,0,1625208721, 0, 0, 340, 340, 10, 10.88%, 0, 0, 2, 2.36
AFLfast,pdftops,0,1625208726, 0, 0, 341, 341, 10, 10.88%, 0, 0, 2, 2.30
AFLfast,pdftops,0,1625208732, 0, 0, 342, 342, 10, 10.88%, 0, 0, 2, 2.03
AFLfast,pdftops,0,1625208743, 0, 0, 343, 343, 10, 10.88%, 0, 0, 2, 1.49
AFLfast,pdftops,0,1625208755, 0, 0, 344, 344, 10, 10.88%, 0, 0, 2, 1.91
AFLfast,pdftops,0,1625208760, 0, 0, 346, 346, 10, 10.88%, 0, 0, 2, 2.19
AFLfast,pdftops,0,1625208765, 0, 0, 347, 347, 10, 10.88%, 0, 0, 2, 2.28
AFLfast,pdftops,0,1625208776, 0, 0, 348, 348, 10, 10.88%, 0, 0, 2, 1.66
AFLfast,pdftops,0,1625208786, 0, 0, 349, 349, 10, 10.88%, 0, 0, 2, 2.09
AFLfast,pdftops,0,1625208792, 0, 0, 351, 351, 10, 10.88%, 0, 0, 2, 2.03
AFLfast,pdftops,0,1625208808, 0, 0, 352, 352, 10, 10.88%, 0, 0, 2, 1.52
AFLfast,pdftops,0,1625208819, 0, 0, 353, 353, 10, 10.88%, 0, 0, 2, 1.63
AFLfast,pdftops,0,1625208824, 0, 0, 354, 354, 10, 10.88%, 0, 0, 2, 1.84
AFLfast,pdftops,0,1625208830, 0, 0, 355, 355, 10, 10.88%, 0, 0, 2, 1.77
AFLfast,pdftops,0,1625208840, 0, 0, 356, 356, 10, 10.88%, 0, 0, 2, 1.39
AFLfast,pdftops,0,1625208856, 0, 0, 357, 357, 10, 10.88%, 0, 0, 2, 1.39
