alg,SUT,rep,# unix_time, cycles_done, cur_path, paths_total, pending_total, pending_favs, map_size, unique_crashes, unique_hangs, max_depth, execs_per_sec, total_execs, edges_found
AFLfast,size,12,10617, 0, 2, 8, 8, 6, 0.01%, 0, 0, 1, 40.80, 498, 906
AFLfast,size,12,15827, 0, 2, 8, 8, 6, 0.01%, 0, 0, 1, 32.34, 652, 906
AFLfast,size,12,20982, 0, 2, 8, 8, 6, 0.01%, 0, 0, 1, 30.27, 804, 906
AFLfast,size,12,26033, 0, 2, 8, 8, 6, 0.01%, 0, 0, 1, 31.16, 963, 906
AFLfast,size,12,31122, 0, 2, 8, 8, 6, 0.01%, 0, 0, 1, 31.08, 1121, 906
AFLfast,size,12,43733, 0, 2, 9, 9, 6, 0.01%, 0, 0, 2, 4.90, 1286, 994
AFLfast,size,12,52358, 0, 2, 10, 10, 6, 0.01%, 0, 0, 2, 4.90, 1329, 1060
AFLfast,size,12,61066, 0, 2, 11, 11, 6, 0.01%, 0, 0, 2, 4.92, 1373, 1106
AFLfast,size,12,70396, 0, 2, 12, 12, 6, 0.01%, 0, 0, 2, 6.89, 1429, 1152
AFLfast,size,12,79199, 0, 2, 13, 13, 6, 0.01%, 0, 0, 2, 7.54, 1476, 1152
AFLfast,size,12,87786, 0, 2, 14, 14, 6, 0.01%, 0, 0, 2, 7.37, 1518, 1163
AFLfast,size,12,96603, 0, 2, 15, 15, 6, 0.01%, 0, 0, 2, 7.89, 1563, 1186
AFLfast,size,12,105668, 0, 2, 16, 16, 6, 0.01%, 0, 0, 2, 9.22, 1615, 1186
AFLfast,size,12,115234, 0, 2, 17, 17, 6, 0.01%, 0, 0, 2, 11.63, 1678, 1186
AFLfast,size,12,124382, 0, 2, 18, 18, 6, 0.01%, 0, 0, 2, 12.10, 1731, 1186
AFLfast,size,12,133016, 0, 2, 19, 19, 6, 0.01%, 0, 0, 2, 11.60, 1777, 1186
AFLfast,size,12,142843, 0, 2, 20, 20, 6, 0.01%, 0, 0, 2, 14.02, 1848, 1186
AFLfast,size,12,151679, 0, 2, 21, 21, 6, 0.01%, 0, 0, 2, 13.94, 1896, 1189
AFLfast,size,12,160569, 0, 2, 22, 22, 6, 0.01%, 0, 0, 2, 14.06, 1946, 1192
AFLfast,size,12,169418, 0, 2, 23, 23, 6, 0.01%, 0, 0, 2, 14.05, 1996, 1192
AFLfast,size,12,179823, 0, 2, 24, 24, 6, 0.01%, 0, 1, 2, 21.63, 2049, 1192
AFLfast,size,12,188822, 0, 2, 25, 25, 6, 0.01%, 0, 1, 2, 20.42, 2098, 1192
AFLfast,size,12,198137, 0, 2, 26, 26, 6, 0.01%, 0, 1, 2, 21.82, 2156, 1193
AFLfast,size,12,207206, 0, 2, 27, 27, 6, 0.01%, 0, 1, 2, 20.73, 2211, 1193
AFLfast,size,12,216134, 0, 2, 28, 28, 6, 0.01%, 0, 1, 2, 19.44, 2259, 1195
AFLfast,size,12,226245, 0, 2, 29, 29, 6, 0.01%, 0, 1, 2, 19.45, 2336, 1211
AFLfast,size,12,239375, 0, 2, 30, 30, 6, 0.01%, 0, 1, 2, 20.02, 2477, 1211
AFLfast,size,12,249606, 0, 2, 31, 31, 6, 0.01%, 0, 1, 2, 19.58, 2550, 1215
AFLfast,size,12,258759, 0, 2, 32, 32, 6, 0.01%, 0, 1, 2, 17.99, 2601, 1224
AFLfast,size,12,268020, 0, 2, 33, 33, 6, 0.01%, 0, 1, 2, 17.63, 2661, 1224
AFLfast,size,12,278943, 0, 2, 34, 34, 6, 0.01%, 0, 1, 2, 18.28, 2751, 1230
AFLfast,size,12,291437, 0, 2, 35, 35, 6, 0.01%, 0, 1, 2, 19.05, 2872, 1234
AFLfast,size,12,296437, 0, 2, 35, 35, 6, 0.01%, 0, 1, 2, 21.44, 2983, 1234
AFLfast,size,12,301629, 0, 2, 35, 35, 6, 0.01%, 0, 1, 2, 22.42, 3101, 1234
AFLfast,size,12,313369, 0, 2, 36, 36, 6, 0.01%, 0, 1, 2, 21.17, 3208, 1238
AFLfast,size,12,323492, 0, 2, 37, 37, 6, 0.01%, 0, 1, 2, 19.80, 3283, 1238
AFLfast,size,12,328689, 0, 2, 37, 37, 6, 0.01%, 0, 1, 2, 21.46, 3398, 1238
AFLfast,size,12,333881, 0, 2, 37, 37, 6, 0.01%, 0, 1, 2, 21.33, 3508, 1238
AFLfast,size,12,338895, 0, 2, 37, 37, 6, 0.01%, 0, 1, 2, 21.21, 3615, 1238
AFLfast,size,12,352193, 0, 2, 38, 38, 6, 0.01%, 0, 1, 2, 20.33, 3757, 1241
AFLfast,size,12,357381, 0, 2, 38, 38, 6, 0.01%, 0, 1, 2, 21.83, 3872, 1241
AFLfast,size,12,369898, 0, 2, 39, 39, 6, 0.01%, 0, 1, 2, 21.10, 4002, 1241
AFLfast,size,12,375121, 0, 2, 39, 39, 6, 0.01%, 0, 1, 2, 21.37, 4113, 1241
AFLfast,size,12,385989, 0, 2, 40, 40, 6, 0.01%, 0, 1, 2, 20.69, 4205, 1241
AFLfast,size,12,391149, 0, 2, 40, 40, 6, 0.01%, 0, 1, 2, 22.02, 4320, 1241
AFLfast,size,12,396255, 0, 2, 40, 40, 6, 0.01%, 0, 1, 2, 21.97, 4432, 1241
AFLfast,size,12,401319, 0, 2, 40, 40, 6, 0.01%, 0, 1, 2, 22.17, 4545, 1241
AFLfast,size,12,406321, 0, 2, 40, 40, 6, 0.01%, 0, 1, 2, 22.25, 4657, 1241
AFLfast,size,12,418021, 0, 2, 41, 41, 6, 0.01%, 0, 1, 2, 21.08, 4767, 1241
AFLfast,size,12,423065, 0, 2, 41, 41, 6, 0.01%, 0, 1, 2, 21.21, 4874, 1241
AFLfast,size,12,428137, 0, 2, 41, 41, 6, 0.01%, 0, 1, 2, 21.14, 4981, 1241
AFLfast,size,12,441223, 0, 2, 42, 42, 6, 0.01%, 0, 1, 2, 20.61, 5120, 1241
AFLfast,size,12,446217, 0, 2, 42, 42, 6, 0.01%, 0, 1, 2, 21.21, 5228, 1241
AFLfast,size,12,451297, 0, 2, 42, 42, 6, 0.01%, 0, 1, 2, 21.39, 5337, 1241
AFLfast,size,12,462537, 0, 2, 43, 43, 6, 0.01%, 0, 1, 2, 20.39, 5437, 1241
AFLfast,size,12,472586, 0, 2, 44, 44, 6, 0.01%, 0, 1, 2, 19.68, 5509, 1241
AFLfast,size,12,483633, 0, 2, 45, 45, 6, 0.01%, 0, 1, 2, 19.43, 5601, 1244
AFLfast,size,12,488823, 0, 2, 45, 45, 6, 0.01%, 0, 1, 2, 21.32, 5715, 1244
AFLfast,size,12,494009, 0, 2, 45, 45, 6, 0.01%, 0, 1, 2, 21.80, 5829, 1244
AFLfast,size,12,506586, 0, 2, 46, 46, 6, 0.01%, 0, 1, 2, 21.07, 5956, 1244
AFLfast,size,12,518980, 0, 2, 47, 47, 6, 0.01%, 0, 1, 2, 20.34, 6081, 1244
AFLfast,size,12,527986, 0, 2, 48, 48, 6, 0.01%, 0, 1, 2, 19.56, 6129, 1254
AFLfast,size,12,533041, 0, 2, 48, 48, 6, 0.01%, 0, 1, 2, 20.97, 6239, 1254
AFLfast,size,12,538298, 0, 2, 48, 48, 6, 0.01%, 0, 1, 2, 21.04, 6350, 1254
AFLfast,size,12,547884, 0, 2, 49, 49, 6, 0.01%, 0, 1, 2, 20.03, 6411, 1254
AFLfast,size,12,553061, 0, 2, 49, 49, 6, 0.01%, 0, 1, 2, 21.56, 6526, 1254
AFLfast,size,12,558077, 0, 2, 49, 49, 6, 0.01%, 0, 1, 2, 21.47, 6635, 1254
AFLfast,size,12,570376, 0, 2, 50, 50, 6, 0.01%, 0, 1, 2, 20.07, 6750, 1256
AFLfast,size,12,575373, 0, 2, 50, 50, 6, 0.01%, 0, 1, 2, 21.52, 6861, 1256
AFLfast,size,12,580561, 0, 2, 50, 50, 6, 0.01%, 0, 1, 2, 22.02, 6975, 1256
AFLfast,size,12,592106, 0, 2, 51, 51, 6, 0.01%, 0, 1, 2, 21.05, 7077, 1256
AFLfast,size,12,603830, 0, 2, 52, 52, 6, 0.01%, 0, 1, 2, 20.05, 7187, 1256
AFLfast,size,12,617058, 0, 2, 53, 53, 6, 0.01%, 0, 1, 2, 20.37, 7330, 1256
AFLfast,size,12,622161, 0, 2, 53, 53, 6, 0.01%, 0, 1, 2, 21.68, 7443, 1256
AFLfast,size,12,635157, 0, 2, 54, 54, 6, 0.01%, 0, 1, 2, 20.79, 7575, 1258
AFLfast,size,12,640237, 0, 2, 54, 54, 6, 0.01%, 0, 1, 2, 21.45, 7686, 1258
AFLfast,size,12,645382, 0, 2, 54, 54, 6, 0.01%, 0, 1, 2, 22.09, 7801, 1258
AFLfast,size,12,650517, 0, 2, 54, 54, 6, 0.01%, 0, 1, 2, 22.13, 7915, 1258
AFLfast,size,12,660509, 0, 2, 55, 55, 6, 0.01%, 0, 1, 2, 21.05, 7988, 1258
AFLfast,size,12,665661, 0, 2, 55, 55, 6, 0.01%, 0, 1, 2, 21.80, 8101, 1258
AFLfast,size,12,674781, 0, 2, 56, 56, 6, 0.02%, 0, 1, 2, 20.69, 8156, 1268
AFLfast,size,12,679890, 0, 2, 56, 56, 6, 0.02%, 0, 1, 2, 21.69, 8269, 1268
AFLfast,size,12,685121, 0, 2, 56, 56, 6, 0.02%, 0, 1, 2, 21.73, 8382, 1268
AFLfast,size,12,695406, 0, 2, 57, 57, 6, 0.02%, 0, 1, 2, 20.57, 8457, 1268
AFLfast,size,12,700442, 0, 2, 57, 57, 6, 0.02%, 0, 1, 2, 20.81, 8563, 1268
AFLfast,size,12,705448, 0, 2, 57, 57, 6, 0.02%, 0, 1, 2, 20.73, 8667, 1268
AFLfast,size,12,718925, 0, 2, 58, 58, 6, 0.02%, 0, 1, 2, 19.73, 8806, 1270
AFLfast,size,12,724027, 0, 2, 58, 58, 6, 0.02%, 0, 1, 2, 20.60, 8913, 1270
AFLfast,size,12,735936, 0, 2, 59, 59, 6, 0.02%, 0, 1, 2, 20.41, 9026, 1272
AFLfast,size,12,746093, 0, 2, 60, 60, 6, 0.02%, 0, 1, 2, 19.81, 9101, 1272
AFLfast,size,12,751241, 0, 2, 60, 60, 6, 0.02%, 0, 1, 2, 20.17, 9205, 1272
AFLfast,size,12,756457, 0, 2, 60, 60, 6, 0.02%, 0, 1, 2, 20.65, 9314, 1272
AFLfast,size,12,767928, 0, 2, 61, 61, 6, 0.02%, 0, 1, 2, 20.56, 9420, 1272
AFLfast,size,12,772934, 0, 2, 61, 61, 6, 0.02%, 0, 1, 2, 21.40, 9529, 1272
AFLfast,size,12,785392, 0, 2, 62, 62, 6, 0.02%, 0, 1, 2, 20.56, 9653, 1275
AFLfast,size,12,796793, 0, 2, 63, 63, 6, 0.02%, 0, 1, 2, 20.48, 9759, 1275
AFLfast,size,12,801861, 0, 2, 63, 63, 6, 0.02%, 0, 1, 2, 21.29, 9868, 1275
AFLfast,size,12,812724, 0, 2, 64, 64, 6, 0.02%, 0, 1, 2, 20.14, 9955, 1277
AFLfast,size,12,822336, 0, 2, 65, 65, 6, 0.02%, 0, 1, 2, 19.55, 10017, 1277
AFLfast,size,12,834088, 0, 2, 66, 66, 6, 0.02%, 0, 1, 2, 19.05, 10123, 1277
AFLfast,size,12,839109, 0, 2, 66, 66, 6, 0.02%, 0, 1, 2, 20.83, 10231, 1277
AFLfast,size,12,844321, 0, 5, 66, 65, 27, 0.02%, 0, 1, 2, 24.85, 10356, 1277
AFLfast,size,12,849401, 0, 5, 66, 65, 27, 0.02%, 0, 1, 2, 29.70, 10515, 1277
AFLfast,size,12,854441, 0, 5, 66, 65, 27, 0.02%, 0, 1, 2, 30.69, 10672, 1277
AFLfast,size,12,859541, 0, 5, 66, 65, 27, 0.02%, 0, 1, 2, 30.56, 10828, 1277
AFLfast,size,12,864665, 0, 5, 66, 65, 27, 0.02%, 0, 1, 2, 30.92, 10987, 1277
AFLfast,size,12,869938, 0, 5, 66, 65, 27, 0.02%, 0, 1, 2, 31.06, 11151, 1277
AFLfast,size,12,875077, 0, 5, 66, 65, 27, 0.02%, 0, 1, 2, 30.57, 11309, 1277
AFLfast,size,12,880279, 0, 5, 66, 65, 27, 0.02%, 0, 1, 2, 30.66, 11469, 1277
AFLfast,size,12,885473, 0, 5, 66, 65, 27, 0.02%, 0, 1, 2, 30.56, 11625, 1277
AFLfast,size,12,890653, 0, 5, 66, 65, 27, 0.02%, 0, 1, 2, 30.51, 11783, 1277
AFLfast,size,12,895707, 0, 5, 66, 65, 27, 0.02%, 0, 1, 2, 30.93, 11940, 1277
AFLfast,size,12,900795, 0, 5, 66, 65, 27, 0.02%, 0, 1, 2, 31.90, 12104, 1277
AFLfast,size,12,905812, 0, 5, 66, 65, 27, 0.02%, 0, 1, 2, 31.84, 12262, 1277
AFLfast,size,12,915534, 0, 5, 67, 66, 27, 0.02%, 0, 1, 2, 5.10, 12344, 1277
AFLfast,size,12,924193, 0, 5, 68, 67, 27, 0.02%, 0, 1, 2, 4.97, 12392, 1281
AFLfast,size,12,932560, 0, 5, 69, 68, 27, 0.02%, 0, 1, 2, 4.98, 12435, 1281
AFLfast,size,12,940823, 0, 5, 70, 69, 27, 0.02%, 0, 1, 2, 4.98, 12476, 1294
AFLfast,size,12,949578, 0, 5, 71, 70, 27, 0.02%, 0, 1, 2, 24.69, 12528, 1294
AFLfast,size,12,958039, 0, 5, 72, 71, 27, 0.02%, 0, 1, 2, 22.91, 12573, 1294
AFLfast,size,12,967072, 0, 5, 73, 72, 27, 0.02%, 0, 1, 2, 22.38, 12634, 1295
AFLfast,size,12,975441, 0, 5, 74, 73, 27, 0.02%, 0, 1, 2, 21.30, 12677, 1295
AFLfast,size,12,984905, 0, 5, 75, 74, 27, 0.02%, 0, 1, 2, 22.43, 12753, 1295
AFLfast,size,12,993816, 0, 5, 76, 75, 27, 0.02%, 0, 1, 2, 21.86, 12810, 1295
AFLfast,size,12,1002964, 0, 5, 77, 76, 27, 0.02%, 0, 1, 2, 21.90, 12877, 1298
AFLfast,size,12,1011836, 0, 5, 78, 77, 27, 0.02%, 0, 1, 2, 21.16, 12929, 1298
AFLfast,size,12,1020829, 0, 5, 79, 78, 27, 0.02%, 0, 1, 2, 20.49, 12989, 1298
AFLfast,size,12,1029790, 0, 5, 80, 79, 27, 0.02%, 0, 1, 2, 20.38, 13048, 1299
AFLfast,size,12,1038771, 0, 5, 81, 80, 27, 0.02%, 0, 1, 2, 19.92, 13103, 1300
AFLfast,size,12,1051832, 0, 5, 82, 81, 27, 0.02%, 0, 1, 2, 23.53, 13272, 1307
AFLfast,size,12,1060681, 0, 5, 83, 82, 27, 0.02%, 0, 1, 2, 22.78, 13329, 1310
AFLfast,size,12,1069992, 0, 5, 84, 83, 27, 0.02%, 0, 1, 2, 22.76, 13397, 1312
AFLfast,size,12,1078456, 0, 5, 85, 84, 27, 0.02%, 0, 1, 2, 21.67, 13441, 1314
AFLfast,size,12,1086944, 0, 5, 86, 85, 27, 0.02%, 0, 1, 2, 20.23, 13485, 1314
AFLfast,size,12,1095554, 0, 5, 87, 86, 27, 0.02%, 0, 1, 2, 19.79, 13536, 1314
AFLfast,size,12,1103923, 0, 5, 88, 87, 27, 0.02%, 0, 1, 2, 18.87, 13578, 1314
AFLfast,size,12,1112958, 0, 5, 89, 88, 27, 0.02%, 0, 1, 2, 18.99, 13639, 1316
AFLfast,size,12,1123188, 0, 5, 90, 89, 27, 0.02%, 0, 1, 2, 20.85, 13730, 1316
AFLfast,size,12,1134295, 0, 5, 91, 90, 27, 0.02%, 0, 1, 2, 23.10, 13848, 1316
AFLfast,size,12,1139421, 0, 5, 91, 90, 27, 0.02%, 0, 1, 2, 25.64, 13985, 1316
AFLfast,size,12,1148178, 0, 5, 92, 91, 27, 0.02%, 0, 1, 2, 24.45, 14037, 1316
AFLfast,size,12,1157230, 0, 5, 93, 92, 27, 0.02%, 0, 1, 2, 23.46, 14097, 1316
AFLfast,size,12,1165680, 0, 5, 94, 93, 27, 0.02%, 0, 1, 2, 22.32, 14142, 1316
AFLfast,size,12,1175001, 0, 5, 95, 94, 27, 0.02%, 0, 1, 2, 22.50, 14215, 1317
AFLfast,size,12,1185155, 0, 5, 96, 95, 27, 0.02%, 0, 1, 2, 4.93, 14308, 1317
AFLfast,size,12,1193973, 0, 5, 97, 96, 27, 0.02%, 0, 1, 2, 4.89, 14361, 1339
AFLfast,size,12,1205510, 0, 5, 98, 97, 27, 0.02%, 0, 1, 2, 5.18, 14488, 1339
AFLfast,size,12,1214902, 0, 5, 99, 98, 27, 0.02%, 0, 1, 2, 10.25, 14560, 1339
AFLfast,size,12,1223649, 0, 5, 100, 99, 27, 0.02%, 0, 1, 2, 11.65, 14615, 1343
AFLfast,size,12,1232184, 0, 5, 101, 100, 27, 0.02%, 0, 1, 2, 12.31, 14663, 1345
AFLfast,size,12,1245420, 0, 5, 102, 101, 27, 0.02%, 0, 1, 2, 21.58, 14833, 1346
AFLfast,size,12,1250565, 0, 5, 102, 101, 27, 0.02%, 0, 1, 2, 26.18, 14976, 1346
AFLfast,size,12,1259826, 0, 5, 103, 102, 27, 0.02%, 0, 1, 2, 5.14, 15043, 1346
AFLfast,size,12,1270888, 0, 5, 104, 103, 27, 0.02%, 0, 1, 2, 4.94, 15159, 1346
AFLfast,size,12,1283383, 0, 5, 105, 104, 27, 0.02%, 0, 1, 2, 5.33, 15312, 1350
AFLfast,size,12,1288593, 0, 5, 105, 104, 27, 0.02%, 0, 1, 2, 22.18, 15453, 1350
AFLfast,size,12,1298897, 0, 5, 106, 105, 27, 0.02%, 0, 1, 2, 22.98, 15550, 1350
AFLfast,size,12,1309945, 0, 5, 107, 106, 27, 0.02%, 0, 1, 2, 5.15, 15669, 1350
AFLfast,size,12,1323153, 0, 5, 108, 107, 27, 0.02%, 0, 1, 2, 5.04, 15847, 1350
AFLfast,size,12,1328234, 0, 5, 108, 107, 27, 0.02%, 0, 1, 2, 26.96, 15983, 1350
AFLfast,size,12,1333368, 0, 5, 108, 107, 27, 0.02%, 0, 1, 2, 26.31, 16117, 1350
AFLfast,size,12,1346275, 0, 5, 109, 108, 27, 0.02%, 0, 1, 2, 5.27, 16280, 1351
AFLfast,size,12,1357622, 0, 5, 110, 109, 27, 0.02%, 0, 1, 2, 5.32, 16403, 1351
AFLfast,size,12,1362722, 0, 5, 110, 109, 27, 0.02%, 0, 1, 2, 21.84, 16540, 1351
AFLfast,size,12,1371193, 0, 5, 111, 110, 27, 0.02%, 0, 1, 2, 20.80, 16585, 1354
AFLfast,size,12,1383338, 0, 5, 112, 111, 27, 0.02%, 0, 1, 2, 23.72, 16731, 1358
AFLfast,size,12,1395404, 0, 5, 113, 112, 27, 0.02%, 0, 1, 2, 24.67, 16871, 1358
AFLfast,size,12,1404115, 0, 5, 114, 113, 27, 0.02%, 0, 1, 2, 5.26, 16923, 1374
AFLfast,size,12,1412727, 0, 5, 115, 114, 27, 0.02%, 0, 1, 2, 6.42, 16973, 1376
AFLfast,size,12,1417781, 0, 5, 115, 114, 27, 0.02%, 0, 1, 2, 21.73, 17110, 1376
AFLfast,size,12,1427651, 0, 5, 116, 115, 27, 0.02%, 0, 1, 2, 22.26, 17193, 1376
AFLfast,size,12,1436388, 0, 5, 117, 116, 27, 0.02%, 0, 1, 2, 21.16, 17242, 1376
AFLfast,size,12,1447453, 0, 5, 118, 117, 27, 0.02%, 0, 1, 2, 22.60, 17352, 1380
AFLfast,size,12,1456686, 0, 5, 119, 118, 27, 0.02%, 0, 1, 2, 21.90, 17412, 1380
AFLfast,size,12,1465737, 0, 5, 120, 119, 27, 0.02%, 0, 1, 2, 20.99, 17473, 1381
AFLfast,size,12,1470872, 0, 5, 120, 119, 27, 0.02%, 0, 1, 2, 25.53, 17613, 1381
AFLfast,size,12,1480153, 0, 5, 121, 120, 27, 0.02%, 0, 1, 2, 4.89, 17678, 1402
AFLfast,size,12,1485281, 0, 5, 121, 120, 27, 0.02%, 0, 1, 2, 26.12, 17813, 1402
AFLfast,size,12,1495230, 0, 5, 122, 121, 27, 0.02%, 0, 1, 2, 5.05, 17900, 1402
AFLfast,size,12,1500305, 0, 5, 122, 121, 27, 0.02%, 0, 1, 2, 29.28, 18039, 1402
AFLfast,size,12,1511933, 0, 5, 123, 122, 27, 0.02%, 0, 1, 2, 5.23, 18173, 1427
AFLfast,size,12,1523126, 0, 5, 124, 123, 27, 0.02%, 0, 1, 2, 25.94, 18290, 1436
AFLfast,size,12,1528133, 0, 5, 124, 123, 27, 0.02%, 0, 1, 2, 26.24, 18424, 1436
AFLfast,size,12,1539768, 0, 5, 125, 124, 27, 0.02%, 0, 1, 2, 4.87, 18551, 1442
AFLfast,size,12,1548395, 0, 5, 126, 125, 27, 0.02%, 0, 1, 2, 5.00, 18600, 1442
AFLfast,size,12,1553442, 0, 5, 126, 125, 27, 0.02%, 0, 1, 2, 26.91, 18733, 1442
AFLfast,size,12,1562166, 0, 5, 127, 126, 27, 0.02%, 0, 1, 2, 5.32, 18783, 1442
AFLfast,size,12,1572680, 0, 5, 128, 127, 27, 0.02%, 0, 1, 2, 14.14, 18881, 1444
AFLfast,size,12,1577805, 0, 5, 128, 127, 27, 0.02%, 0, 1, 2, 23.54, 19020, 1444
AFLfast,size,12,1582812, 0, 5, 128, 127, 27, 0.02%, 0, 1, 2, 25.85, 19153, 1444
AFLfast,size,12,1587877, 0, 5, 128, 127, 27, 0.02%, 0, 1, 2, 26.22, 19284, 1444
AFLfast,size,12,1592945, 0, 5, 128, 127, 27, 0.02%, 0, 1, 2, 26.76, 19420, 1444
AFLfast,size,12,1602968, 0, 5, 129, 128, 27, 0.02%, 0, 1, 2, 25.63, 19508, 1444
AFLfast,size,12,1608058, 0, 5, 129, 128, 27, 0.02%, 0, 1, 2, 26.88, 19647, 1444
AFLfast,size,12,1618199, 0, 5, 130, 129, 27, 0.02%, 0, 1, 2, 5.06, 19738, 1444
AFLfast,size,12,1623322, 0, 5, 130, 129, 27, 0.02%, 0, 1, 2, 24.91, 19865, 1444
AFLfast,size,12,1628493, 0, 5, 130, 129, 27, 0.02%, 0, 1, 2, 24.12, 19994, 1444
AFLfast,size,12,1633592, 0, 66, 130, 128, 51, 0.02%, 0, 1, 2, 32.26, 20116, 1444
AFLfast,size,12,1638745, 0, 66, 130, 128, 51, 0.02%, 0, 1, 2, 31.72, 20278, 1444
AFLfast,size,12,1643889, 0, 66, 130, 128, 51, 0.02%, 0, 1, 2, 30.62, 20436, 1444
AFLfast,size,12,1648927, 0, 66, 130, 128, 51, 0.02%, 0, 1, 2, 31.95, 20599, 1444
AFLfast,size,12,1654089, 0, 66, 130, 128, 51, 0.02%, 0, 1, 2, 32.17, 20765, 1444
AFLfast,size,12,1659115, 0, 66, 130, 128, 51, 0.02%, 0, 1, 2, 32.14, 20927, 1444
AFLfast,size,12,1664299, 0, 66, 130, 128, 51, 0.02%, 0, 1, 2, 32.01, 21093, 1444
AFLfast,size,12,1669513, 0, 66, 130, 128, 51, 0.02%, 0, 1, 2, 32.58, 21264, 1444
AFLfast,size,12,1674586, 0, 66, 130, 128, 51, 0.02%, 0, 1, 2, 32.09, 21426, 1444
AFLfast,size,12,1679589, 0, 66, 130, 128, 51, 0.02%, 0, 1, 2, 31.53, 21582, 1444
AFLfast,size,12,1684774, 0, 66, 130, 128, 51, 0.02%, 0, 1, 2, 31.13, 21744, 1444
AFLfast,size,12,1689957, 0, 66, 130, 128, 51, 0.02%, 0, 1, 2, 31.16, 21906, 1444
AFLfast,size,12,1694978, 0, 66, 130, 128, 51, 0.02%, 0, 1, 2, 31.72, 22067, 1444
AFLfast,size,12,1703602, 0, 66, 131, 129, 51, 0.02%, 0, 1, 3, 5.55, 22114, 1446
AFLfast,size,12,1708605, 0, 66, 131, 129, 51, 0.02%, 0, 1, 3, 27.91, 22252, 1446
AFLfast,size,12,1713657, 0, 66, 131, 129, 51, 0.02%, 0, 1, 3, 25.02, 22376, 1446
AFLfast,size,12,1718789, 0, 73, 131, 128, 50, 0.02%, 0, 1, 3, 30.14, 22526, 1446
AFLfast,size,12,1723993, 0, 73, 131, 128, 50, 0.02%, 0, 1, 3, 31.53, 22691, 1446
AFLfast,size,12,1729001, 0, 73, 131, 128, 50, 0.02%, 0, 1, 3, 31.93, 22853, 1446
AFLfast,size,12,1734181, 0, 73, 131, 128, 50, 0.02%, 0, 1, 3, 31.77, 23019, 1446
AFLfast,size,12,1739409, 0, 73, 131, 128, 50, 0.02%, 0, 1, 3, 31.68, 23184, 1446
AFLfast,size,12,1744617, 0, 73, 131, 128, 50, 0.02%, 0, 1, 3, 31.16, 23344, 1446
AFLfast,size,12,1749681, 0, 73, 131, 128, 50, 0.02%, 0, 1, 3, 31.90, 23507, 1446
AFLfast,size,12,1754877, 0, 73, 131, 128, 50, 0.02%, 0, 1, 3, 31.63, 23672, 1446
AFLfast,size,12,1759997, 0, 73, 131, 128, 50, 0.02%, 0, 1, 3, 31.74, 23835, 1446
AFLfast,size,12,1765081, 0, 73, 131, 128, 50, 0.02%, 0, 1, 3, 31.09, 23992, 1446
AFLfast,size,12,1770281, 0, 73, 131, 128, 50, 0.02%, 0, 1, 3, 31.15, 24155, 1446
AFLfast,size,12,1775506, 0, 73, 131, 128, 50, 0.02%, 0, 1, 3, 31.31, 24318, 1446
AFLfast,size,12,1780650, 0, 73, 131, 128, 50, 0.02%, 0, 1, 3, 28.59, 24467, 1446
AFLfast,size,12,1785696, 0, 73, 131, 128, 50, 0.02%, 0, 1, 3, 24.50, 24583, 1446
AFLfast,size,12,1790908, 0, 58, 131, 127, 49, 0.02%, 0, 1, 3, 28.04, 24729, 1446
AFLfast,size,12,1796025, 0, 58, 131, 127, 49, 0.02%, 0, 1, 3, 29.92, 24885, 1446
AFLfast,size,12,1801107, 0, 58, 131, 127, 49, 0.02%, 0, 1, 3, 30.09, 25038, 1446
AFLfast,size,12,1806165, 0, 58, 131, 127, 49, 0.02%, 0, 1, 3, 30.40, 25192, 1446
AFLfast,size,12,1811230, 0, 58, 131, 127, 49, 0.02%, 0, 1, 3, 30.12, 25344, 1446
AFLfast,size,12,1816391, 0, 58, 131, 127, 49, 0.02%, 0, 1, 3, 29.58, 25496, 1446
AFLfast,size,12,1821421, 0, 58, 131, 127, 49, 0.02%, 0, 1, 3, 29.78, 25647, 1446
AFLfast,size,12,1826605, 0, 58, 131, 127, 49, 0.02%, 0, 1, 3, 29.81, 25801, 1446
AFLfast,size,12,1837237, 0, 58, 132, 128, 49, 0.02%, 0, 1, 3, 4.68, 25885, 1447
AFLfast,size,12,1842317, 0, 58, 132, 128, 49, 0.02%, 0, 1, 3, 17.67, 25996, 1447
AFLfast,size,12,1852417, 0, 58, 133, 129, 49, 0.02%, 0, 1, 3, 18.62, 26071, 1447
AFLfast,size,12,1857557, 0, 58, 133, 129, 49, 0.02%, 0, 1, 3, 22.14, 26188, 1447
AFLfast,size,12,1862601, 0, 84, 133, 128, 48, 0.02%, 0, 1, 3, 26.59, 26317, 1447
AFLfast,size,12,1867611, 0, 84, 133, 128, 48, 0.02%, 0, 1, 3, 30.66, 26477, 1447
AFLfast,size,12,1872780, 0, 84, 133, 128, 48, 0.02%, 0, 1, 3, 31.49, 26642, 1447
AFLfast,size,12,1877979, 0, 84, 133, 128, 48, 0.02%, 0, 1, 3, 31.88, 26808, 1447
AFLfast,size,12,1883151, 0, 84, 133, 128, 48, 0.02%, 0, 1, 3, 32.33, 26976, 1447
AFLfast,size,12,1888273, 0, 84, 133, 128, 48, 0.02%, 0, 1, 3, 31.55, 27134, 1447
AFLfast,size,12,1893320, 0, 84, 133, 128, 48, 0.02%, 0, 1, 3, 32.19, 27298, 1447
