alg,SUT,rep,# unix_time, cycles_done, cur_path, paths_total, pending_total, pending_favs, map_size, unique_crashes, unique_hangs, max_depth, execs_per_sec
AFLfast,jpegtran,3,1621961215, 0, 0, 40, 40, 28, 4.57%, 0, 0, 1, 53.30
AFLfast,jpegtran,3,1621961220, 0, 0, 53, 53, 28, 4.58%, 0, 0, 2, 118.06
AFLfast,jpegtran,3,1621961226, 0, 0, 55, 55, 28, 4.59%, 0, 0, 2, 12.37
AFLfast,jpegtran,3,1621961231, 0, 0, 64, 64, 28, 4.61%, 0, 0, 2, 96.67
AFLfast,jpegtran,3,1621961236, 0, 0, 68, 68, 28, 4.62%, 0, 0, 2, 117.09
AFLfast,jpegtran,3,1621961241, 0, 0, 71, 71, 28, 4.62%, 0, 0, 2, 106.56
AFLfast,jpegtran,3,1621961246, 0, 0, 73, 73, 28, 4.63%, 0, 0, 2, 135.47
AFLfast,jpegtran,3,1621961251, 0, 0, 74, 74, 28, 4.63%, 0, 0, 2, 99.35
AFLfast,jpegtran,3,1621961256, 0, 0, 77, 77, 28, 4.63%, 0, 0, 2, 16.85
AFLfast,jpegtran,3,1621961262, 0, 0, 78, 78, 28, 4.63%, 0, 0, 2, 108.72
AFLfast,jpegtran,3,1621961277, 0, 0, 89, 89, 28, 4.65%, 0, 0, 2, 115.73
AFLfast,jpegtran,3,1621961282, 0, 0, 91, 91, 28, 4.66%, 0, 0, 2, 125.45
AFLfast,jpegtran,3,1621961303, 0, 0, 100, 100, 28, 4.66%, 0, 0, 2, 125.88
AFLfast,jpegtran,3,1621961349, 0, 0, 101, 101, 28, 4.66%, 0, 0, 2, 2.61
AFLfast,jpegtran,3,1621961380, 0, 0, 105, 105, 28, 4.66%, 0, 0, 2, 5.90
AFLfast,jpegtran,3,1621961386, 0, 0, 106, 106, 28, 4.66%, 0, 0, 2, 123.48
AFLfast,jpegtran,3,1621961396, 0, 0, 108, 108, 28, 4.66%, 0, 0, 2, 124.02
AFLfast,jpegtran,3,1621961412, 0, 0, 109, 109, 28, 4.66%, 0, 0, 2, 2.54
AFLfast,jpegtran,3,1621961427, 0, 0, 117, 117, 28, 4.70%, 0, 0, 2, 25.89
AFLfast,jpegtran,3,1621961432, 0, 0, 119, 119, 28, 4.70%, 0, 0, 2, 105.25
AFLfast,jpegtran,3,1621961438, 0, 0, 127, 127, 28, 4.72%, 0, 0, 2, 4.26
AFLfast,jpegtran,3,1621961443, 0, 0, 132, 132, 28, 4.72%, 0, 0, 2, 65.13
AFLfast,jpegtran,3,1621961448, 0, 0, 142, 142, 28, 4.74%, 0, 0, 2, 71.27
AFLfast,jpegtran,3,1621961454, 0, 0, 144, 144, 28, 4.75%, 0, 0, 2, 34.59
AFLfast,jpegtran,3,1621961459, 0, 0, 147, 147, 28, 4.75%, 0, 0, 2, 107.04
AFLfast,jpegtran,3,1621961464, 0, 0, 148, 148, 28, 4.75%, 0, 0, 2, 104.16
AFLfast,jpegtran,3,1621961469, 0, 0, 152, 152, 28, 4.76%, 0, 0, 2, 115.63
AFLfast,jpegtran,3,1621961474, 0, 0, 153, 153, 28, 4.76%, 0, 0, 2, 116.42
AFLfast,jpegtran,3,1621961479, 0, 0, 158, 158, 28, 4.76%, 0, 0, 2, 17.77
AFLfast,jpegtran,3,1621961484, 0, 0, 160, 160, 28, 4.76%, 0, 0, 2, 50.12
AFLfast,jpegtran,3,1621961489, 0, 0, 164, 164, 28, 4.76%, 0, 0, 2, 68.25
AFLfast,jpegtran,3,1621961494, 0, 0, 165, 165, 28, 4.76%, 0, 0, 2, 46.68
AFLfast,jpegtran,3,1621961499, 0, 0, 167, 167, 28, 4.76%, 0, 0, 2, 68.83
AFLfast,jpegtran,3,1621961510, 0, 0, 170, 170, 28, 4.77%, 0, 0, 2, 99.16
AFLfast,jpegtran,3,1621961515, 0, 0, 171, 171, 28, 4.77%, 0, 0, 2, 75.95
AFLfast,jpegtran,3,1621961525, 0, 0, 175, 175, 28, 4.77%, 0, 0, 2, 73.02
AFLfast,jpegtran,3,1621961535, 0, 0, 177, 177, 28, 4.77%, 0, 0, 2, 104.90
AFLfast,jpegtran,3,1621961541, 0, 0, 178, 178, 28, 4.77%, 0, 0, 2, 66.65
AFLfast,jpegtran,3,1621961546, 0, 0, 179, 179, 28, 4.77%, 0, 0, 2, 81.10
AFLfast,jpegtran,3,1621961551, 0, 0, 180, 180, 28, 4.77%, 0, 0, 2, 81.45
AFLfast,jpegtran,3,1621961561, 0, 0, 181, 181, 28, 4.77%, 0, 0, 2, 37.04
AFLfast,jpegtran,3,1621961567, 0, 0, 182, 182, 28, 4.78%, 0, 0, 2, 14.36
AFLfast,jpegtran,3,1621961577, 0, 0, 183, 183, 28, 4.78%, 0, 0, 2, 65.88
AFLfast,jpegtran,3,1621961582, 0, 0, 184, 184, 28, 4.78%, 0, 0, 2, 27.89
AFLfast,jpegtran,3,1621961593, 0, 0, 185, 185, 28, 4.78%, 0, 0, 2, 75.80
