alg,SUT,rep,# unix_time, cycles_done, cur_path, paths_total, pending_total, pending_favs, map_size, unique_crashes, unique_hangs, max_depth, execs_per_sec
AFLfast,tiffsplit,7,1625119316, 0, 0, 38, 38, 32, 4.23%, 0, 0, 1, 56.09
AFLfast,tiffsplit,7,1625119321, 0, 0, 42, 42, 32, 4.25%, 0, 0, 2, 57.49
AFLfast,tiffsplit,7,1625119327, 0, 0, 46, 46, 32, 4.26%, 0, 0, 2, 43.88
AFLfast,tiffsplit,7,1625119332, 0, 0, 52, 52, 32, 4.26%, 0, 0, 2, 39.39
AFLfast,tiffsplit,7,1625119337, 0, 0, 53, 53, 32, 4.26%, 0, 0, 2, 38.26
AFLfast,tiffsplit,7,1625119368, 0, 0, 54, 54, 32, 4.26%, 0, 0, 2, 21.56
AFLfast,tiffsplit,7,1625119378, 0, 0, 55, 55, 32, 4.26%, 0, 0, 2, 20.86
AFLfast,tiffsplit,7,1625119393, 0, 0, 56, 56, 32, 4.26%, 0, 0, 2, 22.34
AFLfast,tiffsplit,7,1625119414, 0, 0, 57, 57, 32, 4.26%, 0, 0, 2, 21.79
AFLfast,tiffsplit,7,1625119444, 0, 0, 58, 58, 32, 4.26%, 0, 0, 2, 20.71
AFLfast,tiffsplit,7,1625119506, 0, 0, 59, 59, 32, 4.28%, 0, 0, 2, 41.70
AFLfast,tiffsplit,7,1625119552, 0, 0, 61, 61, 32, 4.28%, 0, 0, 2, 34.03
AFLfast,tiffsplit,7,1625119629, 0, 0, 62, 62, 32, 4.28%, 0, 0, 2, 41.62
AFLfast,tiffsplit,7,1625119783, 0, 0, 63, 63, 32, 4.28%, 0, 0, 2, 56.06
AFLfast,tiffsplit,7,1625119819, 0, 0, 64, 64, 32, 4.28%, 0, 0, 2, 30.90
AFLfast,tiffsplit,7,1625119952, 0, 0, 65, 65, 32, 4.28%, 0, 0, 2, 30.35
AFLfast,tiffsplit,7,1625120008, 0, 0, 66, 66, 32, 4.28%, 0, 0, 2, 29.12
AFLfast,tiffsplit,7,1625120250, 0, 0, 67, 67, 32, 4.28%, 0, 0, 2, 28.81
AFLfast,tiffsplit,7,1625120789, 0, 0, 69, 69, 32, 4.29%, 0, 0, 2, 28.55
AFLfast,tiffsplit,7,1625120927, 0, 0, 70, 70, 32, 4.29%, 0, 0, 2, 28.49
AFLfast,tiffsplit,7,1625120938, 0, 0, 72, 72, 32, 4.29%, 0, 0, 2, 28.24
AFLfast,tiffsplit,7,1625120958, 0, 0, 73, 73, 32, 4.29%, 0, 0, 2, 27.51
AFLfast,tiffsplit,7,1625120994, 0, 0, 74, 74, 32, 4.29%, 0, 0, 2, 32.75
AFLfast,tiffsplit,7,1625121004, 0, 0, 75, 75, 32, 4.29%, 0, 0, 2, 29.09
AFLfast,tiffsplit,7,1625121009, 0, 0, 76, 76, 32, 4.29%, 0, 0, 2, 27.30
AFLfast,tiffsplit,7,1625121024, 0, 0, 77, 77, 32, 4.29%, 0, 0, 2, 26.67
AFLfast,tiffsplit,7,1625121039, 0, 0, 79, 79, 32, 4.29%, 0, 0, 2, 27.99
AFLfast,tiffsplit,7,1625121055, 0, 0, 80, 80, 32, 4.29%, 0, 0, 2, 27.30
AFLfast,tiffsplit,7,1625121101, 0, 0, 81, 81, 32, 4.29%, 0, 0, 2, 27.47
AFLfast,tiffsplit,7,1625121152, 0, 0, 82, 82, 32, 4.29%, 0, 0, 2, 26.03
AFLfast,tiffsplit,7,1625121214, 0, 0, 84, 84, 32, 4.29%, 0, 0, 2, 25.55
AFLfast,tiffsplit,7,1625121245, 0, 0, 85, 85, 32, 4.29%, 0, 0, 2, 25.97
AFLfast,tiffsplit,7,1625121265, 0, 0, 86, 86, 32, 4.29%, 0, 0, 2, 26.97
AFLfast,tiffsplit,7,1625121286, 0, 0, 87, 87, 32, 4.29%, 0, 0, 2, 24.91
AFLfast,tiffsplit,7,1625121301, 0, 0, 88, 88, 32, 4.29%, 0, 0, 2, 26.14
AFLfast,tiffsplit,7,1625121306, 0, 0, 89, 89, 32, 4.29%, 0, 0, 2, 26.80
AFLfast,tiffsplit,7,1625121311, 0, 0, 90, 90, 32, 4.29%, 0, 0, 2, 27.03
AFLfast,tiffsplit,7,1625121317, 0, 0, 91, 91, 32, 4.29%, 0, 0, 2, 26.44
AFLfast,tiffsplit,7,1625121383, 0, 0, 92, 92, 32, 4.29%, 0, 0, 2, 28.03
AFLfast,tiffsplit,7,1625121973, 0, 0, 100, 100, 32, 4.30%, 0, 0, 2, 34.64
AFLfast,tiffsplit,7,1625121978, 0, 0, 104, 104, 32, 4.30%, 0, 0, 2, 39.19
AFLfast,tiffsplit,7,1625121983, 0, 0, 109, 109, 32, 4.31%, 0, 0, 2, 41.94
AFLfast,tiffsplit,7,1625121988, 0, 0, 112, 112, 32, 4.31%, 0, 0, 2, 43.60
AFLfast,tiffsplit,7,1625121994, 0, 0, 114, 114, 32, 4.31%, 0, 0, 2, 41.99
AFLfast,tiffsplit,7,1625122004, 0, 0, 116, 116, 32, 4.31%, 0, 0, 2, 42.18
AFLfast,tiffsplit,7,1625122009, 0, 0, 117, 117, 32, 4.31%, 0, 0, 2, 40.52
AFLfast,tiffsplit,7,1625122014, 0, 0, 119, 119, 32, 4.31%, 0, 0, 2, 30.31
AFLfast,tiffsplit,7,1625122019, 0, 0, 120, 120, 32, 4.31%, 0, 0, 2, 25.33
AFLfast,tiffsplit,7,1625122024, 0, 0, 121, 121, 32, 4.31%, 0, 0, 2, 24.78
AFLfast,tiffsplit,7,1625122029, 0, 0, 122, 122, 32, 4.31%, 0, 0, 2, 23.86
AFLfast,tiffsplit,7,1625122045, 0, 0, 123, 123, 32, 4.31%, 0, 0, 2, 24.21
